optimizer,num_layers,learning_rate,epochs,batch_size,use_layerwise_dropout_batchnorm,start_neurons,padding,output_layer_activation,l2_r,l1_r,kernel_size,filters,dropout_rate,decay_sequence,activation,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
rmsprop,5,0.1,50,512,False,320,same,sigmoid,0.0001,0.1,41,19,0.3,"[1, 4, 8, 8, 4]",sigmoid,,,,,,,,
rmsprop,6,0.001,50,1024,True,420,same,sigmoid,0.001,0.01,15,17,0,"[1, 0.5, 0.25, 0.25, 0.5, 1]",softmax,,,,,,,,
rmsprop,1,0.0001,50,64,False,140,same,sigmoid,0.1,0.1,7,17,0.001,[1],tanh,,,,,,,,
sgd,2,0.001,50,64,False,120,same,sigmoid,0.001,0.1,33,15,0.001,"[1, 4]",relu,,,,,,,,
sgd,2,0.1,50,512,False,240,same,sigmoid,0.0001,0.01,33,13,0,"[1, 2]",tanh,,,,,,,,
sgd,4,0.01,50,64,False,300,same,sigmoid,0.01,0.01,21,11,0.5,"[1, 2, 4, 4]",tanh,,,,,,,,
sgd,2,0.01,50,128,False,480,same,sigmoid,0.2,0.1,21,15,0.2,"[1, 1]",tanh,,,,,,,,
rmsprop,2,0.01,50,64,True,120,same,sigmoid,0.1,0.0001,3,21,0.01,"[1, 0.5]",softmax,,,,,,,,
sgd,3,0.01,50,512,True,360,same,sigmoid,0.0001,0.2,21,13,0.4,"[1, 2, 4]",tanh,,,,,,,,
rmsprop,6,0.001,50,256,True,480,same,sigmoid,0.0001,0.001,3,27,0,"[1, 0.5, 0.25, 0.25, 0.5, 1]",sigmoid,,,,,,,,
sgd,5,0.01,50,512,False,120,same,sigmoid,0.3,0.3,41,15,0.1,"[1, 2, 4, 4, 2]",tanh,,,,,,,,
sgd,4,0.1,50,1024,True,300,same,sigmoid,0.001,0.01,41,21,0.4,"[1, 2, 4, 4]",relu,,,,,,,,
sgd,6,0.01,50,256,False,220,same,sigmoid,0.001,0.1,21,23,0.2,"[1, 2, 4, 4, 2, 1]",sigmoid,,,,,,,,
sgd,4,0.01,50,256,True,120,same,sigmoid,0.1,0.01,41,25,0.1,"[1, 4, 8, 8]",softmax,,,,,,,,
sgd,6,0.01,50,1024,True,360,same,sigmoid,0.1,0.1,15,27,0.3,"[1, 0.5, 0.25, 0.25, 0.5, 1]",relu,,,,,,,,
sgd,6,0.01,50,1024,False,140,same,sigmoid,0.2,0.01,21,17,0.001,"[1, 1, 1, 1, 1, 1]",relu,,,,,,,,
sgd,4,0.1,50,512,False,160,same,sigmoid,0.001,0.0001,3,19,0.3,"[1, 0.5, 0.25, 0.25]",relu,,,,,,,,
sgd,2,0.01,50,64,True,180,same,sigmoid,0.0001,0.001,41,13,0.4,"[1, 4]",tanh,,,,,,,,
sgd,2,0.1,50,1024,False,440,same,sigmoid,0.3,0.001,41,19,0.2,"[1, 1]",tanh,,,,,,,,
sgd,4,0.01,50,512,False,200,same,sigmoid,0.0001,0.01,21,15,0.001,"[1, 1, 1, 1]",tanh,,,,,,,,
sgd,6,0.001,50,1024,True,420,same,sigmoid,0.3,0.2,33,27,0.3,"[1, 0.5, 0.25, 0.25, 0.5, 1]",softmax,,,,,,,,
