use_layerwise_dropout_batchnorm,second_dense_units,padding,output_layer_activation,optimizer,num_layers,num_filters,learning_rate,l2_r,l1_r,growth_sequence,first_dense_units,filter_size,epochs,dropout_rate,dropout_T_bn_F,dense_activation,cnn_activation,batch_size,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall,confusion_matrix
True,234,same,sigmoid,sgd,2,64,0.005,0.1,0.1,"[1, 2]",256,40,50,0.001,False,tanh,tanh,64,,,,,,,,,
True,188,same,sigmoid,sgd,3,74,0.01,0.01,0.0001,"[1, 1, 1]",258,52,50,0.001,False,tanh,tanh,48,,,,,,,,,
True,216,same,sigmoid,sgd,2,72,0.01,0.0001,0.001,"[1, 1]",276,44,50,0.2,False,relu,relu,48,0.434877067804,0.858109474182,0.948984563351,0.757694900036,0.669014215469,0.720410645008,0.991264402866,0.70388507843,"[[ 219   31]
 [ 913 2149]]"
True,208,same,sigmoid,sgd,2,78,0.0025,0.01,0.001,"[1, 2]",290,54,50,0.2,True,tanh,tanh,128,,,,,,,,,
False,254,same,sigmoid,sgd,1,74,0.0025,0.1,0.0001,[1],254,66,50,0.0,False,relu,tanh,128,,,,,,,,,
True,162,same,sigmoid,sgd,2,60,0.025,0.01,0.01,"[1, 4]",276,58,50,0.2,False,tanh,relu,48,1.69020557404,0.704682648182,0.873970687389,0.47652515769,1.48693418503,0.877235531807,0.292105287313,0.449392735958,"[[2787  275]
 [ 140  110]]"
False,212,same,sigmoid,sgd,1,76,0.025,0.0001,0.001,[1],262,62,50,0.1,True,relu,relu,48,0.509603440762,0.779570698738,0.833032310009,0.697852671146,0.455758988857,0.809782624245,0.229344725609,0.644000053406,"[[2520  542]
 [  89  161]]"
False,200,same,sigmoid,sgd,2,62,0.01,0.01,0.0001,"[1, 2]",258,52,50,0.0,False,relu,tanh,64,0.520011842251,0.794611573219,0.814434051514,0.761688649654,0.460914701223,0.803185105324,0.236979171634,0.725099623203,"[[2472  602]
 [  81  173]]"
True,248,same,sigmoid,sgd,2,68,0.005,0.01,0.1,"[1, 1]",264,68,50,0.001,True,relu,relu,256,8.87930965424,0.501416027546,0.0,0.0,8.87895202637,0.924278855324,0.0,0.0,"[[3074    0]
 [ 254    0]]"
True,152,same,sigmoid,sgd,2,60,0.005,0.1,0.001,"[1, 1]",292,50,50,0.0,True,relu,relu,128,1.10004842281,0.545098364353,0.785578131676,0.120698913932,1.09966397285,0.899038493633,0.204225346446,0.115079373121,"[[2956  118]
 [ 225   29]]"
True,252,same,sigmoid,sgd,3,62,0.0001,0.001,0.01,"[1, 1, 1]",296,40,50,0.0,False,tanh,tanh,64,16.6213722229,0.834039151669,0.824133455753,0.847462594509,16.6866550446,0.777944743633,0.223094180226,0.81224489212,"[[2395  679]
 [  63  191]]"
True,196,same,sigmoid,sgd,2,68,0.01,0.0001,0.1,"[1, 2]",290,42,50,0.3,False,tanh,tanh,128,10.6147317886,0.528743207455,0.881000638008,0.0635920017958,10.5396947861,0.917968809605,0.297872334719,0.0551181100309,"[[2940   39]
 [ 232    8]]"
True,216,same,sigmoid,sgd,3,78,0.0025,0.001,0.1,"[1, 4, 8]",296,64,50,0.01,True,tanh,relu,256,176.007675171,0.501416027546,0.0,0.0,176.007369995,0.925781309605,0.0,0.0,"[[3074    0]
 [ 254    0]]"
True,250,same,sigmoid,sgd,3,74,0.05,0.0001,0.1,"[1, 2, 4]",292,46,50,0.3,True,relu,tanh,64,665.43560791,0.498685777187,0.498685777187,1.0,665.450622559,0.0772235617042,0.0772235617042,1.0,"[[   0 3074]
 [   0  254]]"
False,174,same,sigmoid,sgd,3,68,0.05,0.01,0.1,"[1, 2, 4]",276,66,50,0.2,True,tanh,tanh,256,759.386291504,0.498584002256,0.498584002256,1.0,759.411437988,0.0778245255351,0.0778245255351,1.0,"[[   0 3074]
 [   0  254]]"
True,182,same,sigmoid,sgd,1,62,0.01,0.1,0.1,[1],296,54,50,0.001,True,relu,tanh,64,1.19930458069,0.498685777187,0.498685777187,1.0,1.20139873028,0.0763221159577,0.0763221159577,1.0,"[[   0 3074]
 [   0  254]]"
True,236,same,sigmoid,sgd,1,70,0.025,0.1,0.001,[1],292,50,50,0.1,True,tanh,relu,48,0.694316089153,0.498478382826,0.498478382826,1.0,0.730085670948,0.0748792290688,0.0748792290688,1.0,"[[   0 3062]
 [   0  250]]"
False,250,same,sigmoid,sgd,1,64,0.0001,0.01,0.001,[1],272,44,50,0.1,False,tanh,relu,64,0.927990555763,0.620010733604,0.69317907095,0.427037596703,0.925476014614,0.771033704281,0.15675675869,0.456692904234,"[[2452  622]
 [ 147  107]]"
True,208,same,sigmoid,sgd,1,66,0.01,0.0001,0.001,[1],280,44,50,0.2,True,relu,relu,128,0.69276291132,0.678689658642,0.700638711452,0.621034681797,0.682474374771,0.711238026619,0.14995034039,0.58984375,"[[2226  848]
 [ 110  144]]"
True,286,same,sigmoid,sgd,3,66,0.01,0.01,0.01,"[1, 1, 1]",298,64,50,0.3,False,relu,relu,64,0.748329818249,0.834769308567,0.870637834072,0.785358726978,0.71531689167,0.859074532986,0.321131438017,0.759842514992,"[[2648  426]
 [  67  187]]"
True,276,same,sigmoid,sgd,1,76,0.05,0.0001,0.01,[1],294,62,50,0.01,False,relu,relu,128,0.443369984627,0.819996118546,0.96537476778,0.66226786375,0.343314170837,0.881911098957,0.330073356628,0.531496047974,"[[2795  279]
 [ 124  130]]"
False,226,same,sigmoid,sgd,2,78,0.01,0.001,0.001,"[1, 2]",280,64,50,0.2,False,relu,relu,64,4.42141866684,0.600053548813,0.571758687496,0.785686373711,4.42922115326,0.425781279802,0.0972289741039,0.787401556969,"[[1218 1856]
 [  56  198]]"
False,248,same,sigmoid,sgd,1,68,0.005,0.001,0.001,[1],298,60,50,0.0,True,relu,relu,256,0.907474458218,0.565014660358,0.750528931618,0.191068455577,0.905035376549,0.882885813713,0.237500011921,0.241525426507,"[[2843  231]
 [ 197   57]]"
False,158,same,sigmoid,sgd,1,64,0.005,0.1,0.1,[1],280,46,50,0.1,False,relu,relu,128,0.9164108634,0.501314282417,0.0,0.0,0.916328370571,0.921875059605,0.0,0.0,"[[3074    0]
 [ 254    0]]"
False,228,same,sigmoid,sgd,2,64,0.05,0.1,0.01,"[1, 1]",272,66,50,0.1,True,relu,relu,48,1.4065554142,0.498685777187,0.498685777187,1.0,1.42229402065,0.0748792290688,0.0748792290688,1.0,"[[   0 3062]
 [   0  250]]"
True,270,same,sigmoid,sgd,1,60,0.05,0.01,0.1,[1],270,64,50,0.1,True,tanh,tanh,256,1.47589480877,0.524609386921,0.884304225445,0.0535207130015,1.4743976593,0.921708166599,0.411764711142,0.0593220330775,"[[2839   22]
 [ 218   12]]"
False,264,same,sigmoid,sgd,3,76,0.01,0.1,0.1,"[1, 2, 4]",298,40,50,0.0,True,relu,relu,128,116.407615662,0.498685777187,0.498685777187,1.0,116.407577515,0.0757211595774,0.0757211595774,1.0,"[[   0 3074]
 [   0  254]]"
False,236,same,sigmoid,sgd,2,64,0.025,0.001,0.0001,"[1, 2]",268,46,50,0.01,False,relu,tanh,256,,,,,,,,,
True,232,same,sigmoid,adam,3,70,0.005,0.001,0.0001,"[1, 1, 1]",292,46,50,0.01,True,relu,tanh,64,1.19007968903,0.498685777187,0.498685777187,1.0,1.226552248,0.0763221159577,0.0763221159577,1.0,"[[   0 3074]
 [   0  254]]"
False,270,same,sigmoid,sgd,2,66,0.025,0.0001,0.0001,"[1, 2]",270,42,50,0.01,False,tanh,relu,256,1.00654566288,0.726342797279,0.74822640419,0.678052604198,0.996756494045,0.749699532986,0.182217344642,0.653543293476,"[[2314  760]
 [  96  158]]"
False,204,same,sigmoid,sgd,2,66,0.0001,0.0001,0.001,"[1, 2]",256,72,50,0.0,False,tanh,tanh,64,6.54069805145,0.62755548954,0.690600454807,0.458613991737,6.53762245178,0.758413493633,0.148148149252,0.458498030901,"[[2401  673]
 [ 145  109]]"
False,218,same,sigmoid,sgd,2,60,0.01,0.001,0.1,"[1, 2]",262,78,50,0.001,True,relu,tanh,48,29.1995239258,0.498685777187,0.498685777187,1.0,29.2016010284,0.0745772942901,0.0745772942901,1.0,"[[   0 3062]
 [   0  250]]"
True,202,same,sigmoid,sgd,1,78,0.025,0.0001,0.1,[1],264,46,50,0.001,False,tanh,tanh,128,1.36196517944,0.723763644695,0.765102207661,0.643226921558,1.31054139137,0.771935105324,0.191697180271,0.618110239506,"[[2400  674]
 [ 111  143]]"
False,188,same,sigmoid,sgd,1,72,0.025,0.01,0.001,[1],250,46,50,0.01,False,relu,relu,128,,,,,,,,,
False,206,same,sigmoid,sgd,2,78,0.0025,0.1,0.1,"[1, 2]",276,52,50,0.1,False,relu,tanh,128,,,,,,,,,
False,246,same,sigmoid,sgd,2,78,0.025,0.0001,0.0001,"[1, 2]",264,50,50,0.01,False,tanh,tanh,128,0.714322030544,0.760343670845,0.78419226408,0.716642320156,0.666010677814,0.781550526619,0.212636709213,0.688976347446,"[[2400  674]
 [ 103  151]]"
True,256,same,sigmoid,adam,2,60,0.005,0.001,0.0001,"[1, 2]",284,56,50,0.3,True,relu,tanh,128,0.506014049053,0.835012674332,0.824374258518,0.849792361259,0.633568048477,0.775540888309,0.229418218136,0.822834670544,"[[2360  714]
 [  61  193]]"
True,170,same,sigmoid,sgd,1,68,0.0025,0.001,0.01,[1],294,40,50,0.001,True,relu,tanh,64,1.47433757782,0.555225431919,0.69165366888,0.194714486599,1.47306096554,0.851964712143,0.134796246886,0.169960483909,"[[2801  273]
 [ 212   42]]"
True,256,same,sigmoid,sgd,1,72,0.025,0.01,0.01,[1],294,74,50,0.1,False,relu,tanh,128,0.396843492985,0.864218294621,0.914079427719,0.803221106529,0.519822180271,0.798677921295,0.22529643774,0.675889372826,"[[2471  603]
 [ 102  152]]"
False,182,same,sigmoid,sgd,3,64,0.01,0.01,0.0001,"[1, 1, 1]",256,48,50,0.1,True,tanh,relu,256,1.18586540222,0.740893542767,0.768901824951,0.686710417271,1.1449893713,0.7734375,0.202380955219,0.669291317463,"[[2158  703]
 [ 140   90]]"
False,192,same,sigmoid,adam,2,64,0.025,0.01,0.0001,"[1, 2]",296,68,50,0.01,True,relu,relu,48,1.03672325611,0.498685777187,0.498685777187,1.0,1.08098208904,0.0754830911756,0.0754830911756,1.0,"[[   0 3062]
 [   0  250]]"
True,250,same,sigmoid,sgd,2,60,0.01,0.01,0.0001,"[1, 4]",286,46,50,0.3,False,tanh,relu,128,0.834247112274,0.867041528225,0.972993433475,0.754319190979,0.727534174919,0.923377454281,0.498550742865,0.677165329456,"[[2900  174]
 [  81  173]]"
True,278,same,sigmoid,sgd,3,76,0.0001,0.001,0.001,"[1, 2, 4]",278,60,50,0.1,False,relu,tanh,128,,,,,,,,,
True,250,same,sigmoid,sgd,3,60,0.01,0.01,0.0001,"[1, 4, 8]",286,46,50,0.3,False,tanh,relu,128,2.68350458145,0.901285111904,0.915461599827,0.88365060091,2.74683308601,0.865985631943,0.338383823633,0.791338562965,"[[2663  411]
 [  73  181]]"
True,250,same,sigmoid,sgd,4,60,0.01,0.01,0.0001,"[1, 4, 8, 16]",286,46,50,0.3,False,tanh,relu,128,5.70429134369,0.887023031712,0.924424231052,0.842313349247,5.70185279846,0.879507243633,0.365630686283,0.787401556969,"[[2715  359]
 [  70  184]]"
True,250,same,sigmoid,sgd,2,60,0.01,0.01,0.0001,"[1, 4]",286,46,50,0.3,False,tanh,relu,64,0.505084514618,0.872201144695,0.974942326546,0.76334798336,0.409078657627,0.919170677662,0.47214075923,0.644000053406,"[[2882  192]
 [  98  156]]"
