batch_size,epochs,learning_rate,optimizer,activation,dropout_rate,filters,kernel_size,l1_r,l2_r,output_layer_activation,padding,start_neurons,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
64,30,0.01,sgd,tanh,0.3,17,5,0.0001,0.001,sigmoid,same,32,0.580652058125,0.893405556679,0.964070796967,0.871845364571,0.753917753696,0.853960394859,0.857098162174,0.849132597446
128,33,0.1,rmsprop,tanh,0.001,11,13,0.001,0.2,sigmoid,same,256,3334.01757813,0.6518450975419999,0.661726474762,0.972027301788,3334.11230469,0.49796876311300003,0.498642385006,0.976846039295
128,35,0.001,rmsprop,sigmoid,0.1,19,11,0.001,0.001,sigmoid,same,256,3.7802979946099997,0.6635223031040001,0.6635223031040001,1.0,3.88228178024,0.499374985695,0.499374985695,1.0
512,35,0.01,rmsprop,softmax,0.2,23,9,0.001,0.0001,sigmoid,same,32,3.92684316635,0.663646936417,0.663646936417,1.0,4.04286909103,0.4990234375,0.4990234375,1.0
128,30,0.01,sgd,tanh,0.01,15,5,0.3,0.2,sigmoid,same,64,697.5307617189999,0.660738050938,0.6625263094899999,0.995771348476,697.642822266,0.4989062547680001,0.499139159918,0.997809767723
256,30,1e-05,adam,relu,0.0,19,11,0.1,0.1,sigmoid,same,256,124.681503296,0.663667738438,0.6636467576030001,1.0,124.78860473600001,0.499374985695,0.499374985695,1.0
64,33,1e-05,rmsprop,sigmoid,0.4,13,3,0.1,0.001,sigmoid,same,128,2.30451154709,0.6635125875469999,0.6635125875469999,1.0,2.42165017128,0.499381184578,0.499381184578,1.0
128,33,0.0001,rmsprop,relu,0.001,23,15,0.2,0.001,sigmoid,same,512,,,,,,,,
64,50,0.01,sgd,tanh,0.5,17,5,0.0001,0.001,sigmoid,same,32,,,,,,,,
64,50,0.01,sgd,tanh,0.5,17,5,0.0001,0.001,sigmoid,same,32,,,,,,,,
64,50,0.01,sgd,tanh,0.5,17,5,0.0001,0.001,sigmoid,same,32,,,,,,,,
64,50,0.01,sgd,tanh,0.5,17,5,0.0001,0.001,sigmoid,same,32,,,,,,,,
64,50,0.01,sgd,tanh,0.5,17,5,0.0001,0.001,sigmoid,same,32,1.9172396659851074,0.8123595714569092,0.828125,0.9588859677314758,2.1003549098968506,0.7611940503120422,0.6927083134651184,0.7906976938247681
64,50,0.01,sgd,tanh,0.4,17,5,0.0001,0.001,sigmoid,same,32,1.9102224111557007,0.822857141494751,0.8381076455116272,0.9580838084220886,2.123905897140503,0.7285714149475098,0.6614583134651184,0.7906976938247681
64,50,0.01,sgd,tanh,0.3,17,5,0.0001,0.001,sigmoid,same,32,2.011918067932129,0.7396856546401978,0.7647569179534912,0.992094874382019,2.15906023979187,0.6875,0.640625,0.8527131676673889
64,50,0.01,sgd,tanh,0.2,17,5,0.0001,0.001,sigmoid,same,32,1.93248450756073,0.7811850309371948,0.8103298544883728,0.9894667267799377,2.1198768615722656,0.7152317762374878,0.6666666865348816,0.8372092843055725
64,50,0.01,sgd,tanh,0.1,17,5,0.0001,0.001,sigmoid,same,32,2.001628875732422,0.7405405640602112,0.7669270634651184,0.9940633177757263,2.1516358852386475,0.688622772693634,0.65625,0.8914728760719299
64,50,0.01,sgd,tanh,0.01,17,5,0.0001,0.001,sigmoid,same,32,1.9780027866363525,0.7543771862983704,0.7834201455116272,0.9947229623794556,2.14408802986145,0.6948052048683167,0.640625,0.8294573426246643
64,50,0.01,sgd,tanh,0.001,17,5,0.0001,0.001,sigmoid,same,32,2.000547170639038,0.7556789517402649,0.7847222089767456,0.9920477271080017,2.152508497238159,0.7006802558898926,0.6354166865348816,0.7984496355056763
64,50,0.01,sgd,tanh,0,17,5,0.0001,0.001,sigmoid,same,32,nan,nan,nan,nan,nan,nan,nan,nan
