optimizer,num_channels,learning_rate,epochs,batch_size,use_residuals,use_bottleneck,shortcut_activation,reg_shortcut,reg_module,output_activation,num_filters,nr_modules,module_output_activation,module_activation,l2_r,l1_r,kernel_size,bottleneck_size,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
sgd,3,0.001,100,128,False,True,tanh,True,True,sigmoid,36,12,softmax,sigmoid,0.01,0.01,60,30,0.774462461472,0.0,0.504849135876,0.0,0.774474382401,0.0,0.501993000507,0.0
adam,3,0.01,100,128,True,True,sigmoid,True,True,sigmoid,30,9,softmax,relu,0.01,0.0001,60,26,0.905221521854,0.495515346527,0.495515346527,1.0,0.904752373695,0.498007029295,0.498007029295,1.0
adam,3,0.01,100,256,True,False,sigmoid,True,True,sigmoid,42,9,relu,sigmoid,0.01,0.1,20,36,1554.85229492,0.0,0.504874885082,0.0,1554.85400391,0.0,0.501993000507,0.0
sgd,3,0.001,100,256,True,False,softmax,True,False,sigmoid,40,9,tanh,linear,0.01,0.0001,60,32,3.59283924103,0.495362430811,0.495379179716,0.99983972311,3.59272265434,0.498007029295,0.498007029295,1.0
sgd,3,0.001,100,1024,True,True,relu,True,True,sigmoid,24,12,tanh,sigmoid,0.01,0.1,60,30,9.09011363983,0.0,0.504386544228,0.0,9.09018135071,0.0,0.502766907215,0.0
adam,3,0.1,100,512,True,True,tanh,True,True,sigmoid,42,12,relu,softmax,0.001,0.0,40,42,2.26174139977,0.495347440243,0.495347440243,1.0,2.25760269165,0.497233062983,0.497233062983,1.0
sgd,3,0.1,100,512,True,False,softmax,True,False,sigmoid,44,12,sigmoid,softmax,0.01,0.0,40,26,0.692803859711,0.0,0.505081295967,0.0,0.692914903164,0.0,0.502766907215,0.0
rmsprop,3,0.01,100,128,False,False,sigmoid,True,True,sigmoid,34,12,softmax,relu,0.0,0.1,50,30,2952.63891602,0.0,0.504801571369,0.0,2952.65600586,0.0,0.501993000507,0.0
rmsprop,3,0.1,100,1024,False,False,softmax,True,False,sigmoid,24,12,softmax,sigmoid,0.1,0.01,60,40,0.693031191826,0.0,0.504770755768,0.0,0.693115234375,0.0,0.502766907215,0.0
adam,3,0.001,100,512,False,True,sigmoid,True,False,sigmoid,36,3,tanh,relu,0.0001,0.01,30,38,0.685673892498,0.494828164577,0.49480754137,0.999326169491,0.684448242188,0.497474759817,0.497721344233,0.999508976936
