batch_size,epochs,learning_rate,optimizer,bottleneck_size,kernel_size,l1_r,l2_r,module_activation,module_output_activation,nr_modules,num_filters,output_activation,reg_module,reg_shortcut,shortcut_activation,use_bottleneck,use_residuals,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
512,100,0.1,rmsprop,26,40,0.01,0.01,simoid,tanh,1,32,sigmoid,False,True,tanh,False,True,,,,,,,,
512,100,0.1,rmsprop,26,40,0.01,0.01,sigmoid,tanh,1,32,sigmoid,False,True,tanh,False,True,0.687094151974,0.948093235493,0.518324434757,0.0287042967975,0.686958134174,0.960591137409,0.51798504591,0.0319148935378
512,100,0.001,rmsprop,26,40,0.01,0.01,sigmoid,tanh,1,32,sigmoid,False,True,tanh,False,True,0.540136933327,0.836613118649,0.806005477905,0.756153047085,0.557861447334,0.823370039463,0.794189453125,0.746153831482
512,100,0.0005,rmsprop,26,40,0.01,0.01,sigmoid,tanh,1,32,sigmoid,False,True,tanh,False,True,0.526537179947,0.92161911726,0.780408382416,0.608235538006,0.549725830555,0.906636953354,0.77001953125,0.599181652069
512,100,0.01,rmsprop,26,40,0.01,0.01,sigmoid,tanh,1,32,sigmoid,True,True,tanh,False,True,679.870239258,0.495782703161,0.495760291815,0.99961566925,679.867553711,0.497151225805,0.4970703125,0.999672651291
512,100,0.01,rmsprop,26,40,0.01,0.01,sigmoid,tanh,1,32,sigmoid,True,True,tanh,False,True,679.393920898,0.600000023842,0.504430234432,0.000288350624032,679.394348145,0.666666686535,0.50284832716,0.000327332236338
512,100,0.01,rmsprop,26,10,0.01,0.01,sigmoid,tanh,1,32,sigmoid,False,True,tanh,False,True,0.650415480137,0.493843078613,0.4921875,0.981547951698,0.649681389332,0.495123952627,0.4931640625,0.980523705482
512,100,0.01,rmsprop,26,30,0.01,0.01,sigmoid,tanh,1,32,sigmoid,False,True,tanh,False,True,,,,,,,,
512,100,0.1,rmsprop,26,40,0.01,0.01,sigmoid,tanh,1,32,sigmoid,False,True,tanh,False,True,0.646732270718,0.978604793549,0.62152248621,0.241759300232,0.64616638422,0.977079212666,0.621337890625,0.244189858437
512,100,0.001,rmsprop,26,40,0.01,0.01,sigmoid,tanh,1,32,sigmoid,False,True,tanh,False,True,0.532744765282,0.947755694389,0.775311231613,0.57817107439,0.549786746502,0.939973056316,0.768798828125,0.571522116661
512,100,0.0005,rmsprop,26,40,0.01,0.01,sigmoid,tanh,1,32,sigmoid,False,True,tanh,False,True,0.527238070965,0.919944167137,0.781742274761,0.61265707016,0.550369143486,0.904082655907,0.770182311535,0.601636648178
512,100,0.01,rmsprop,26,40,0.01,0.01,sigmoid,tanh,1,32,sigmoid,True,True,tanh,False,True,679.581665039,0.495509535074,0.495379179716,0.998686492443,679.580444336,0.497068881989,0.496907562017,0.999181687832
512,100,0.01,rmsprop,26,40,0.01,0.01,sigmoid,tanh,1,32,sigmoid,True,True,tanh,False,True,679.71081543,0.495845854282,0.49579206109,0.999455630779,679.70880127,0.497110307217,0.496988922358,0.999508976936
