batch_size,epochs,learning_rate,optimizer,bottleneck_size,kernel_size,l1_r,l2_r,module_activation,module_output_activation,nr_modules,num_filters,output_activation,reg_module,reg_shortcut,shortcut_activation,use_bottleneck,use_residuals,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
128,100,0.001,adam,28,60,0.0,0.0001,tanh,sigmoid,21,38,sigmoid,True,True,relu,True,True,0.292903780937,0.930398464203,0.942026734352,0.954767286777,0.376429408789,0.893458724022,0.907315313816,0.920995533466
128,100,0.001,adam,28,60,0.0,0.0001,tanh,sigmoid,21,38,sigmoid,True,True,relu,True,True,0.360472083092,0.944108307362,0.921409606934,0.894768238068,0.419325530529,0.92468047142,0.905610799789,0.879322826862
128,100,0.001,adam,28,60,0.0,0.1,tanh,sigmoid,21,38,sigmoid,True,False,relu,True,True,0.689627528191,0.963310539722,0.764990389347,0.547802865505,0.686028122902,0.969459891319,0.773366451263,0.555780649185
128,100,0.001,adam,28,60,0.0,0.001,tanh,sigmoid,21,38,sigmoid,True,False,relu,True,True,0.271776974201,0.964318752289,0.927938878536,0.887768983841,0.31734085083,0.944924771786,0.903906226158,0.854000866413
128,100,0.001,adam,28,60,0.0,0.0,tanh,sigmoid,21,38,sigmoid,True,False,relu,True,True,0.162151679397,0.922021925449,0.944847106934,0.971137464046,0.273293226957,0.877245485783,0.902911961079,0.932715952396
128,100,0.001,adam,24,60,0.0,0.0001,tanh,sigmoid,21,38,sigmoid,True,False,relu,True,True,0.216282427311,0.944531261921,0.952645540237,0.961103856564,0.325397193432,0.903458237648,0.906889200211,0.907249331474
128,100,0.001,adam,26,60,0.0,0.0001,tanh,sigmoid,21,38,sigmoid,True,False,relu,True,True,0.20810854435,0.917284488678,0.939587116241,0.965492784977,0.328689813614,0.872159063816,0.899928987026,0.932860672474
128,100,0.001,adam,30,60,0.0,0.0001,tanh,sigmoid,21,38,sigmoid,True,False,relu,True,True,0.244720757008,0.888868510723,0.921762168407,0.962827265263,0.34843981266,0.839809656143,0.874360799789,0.919403851032
128,100,0.001,adam,32,60,0.0,0.0001,tanh,sigmoid,21,38,sigmoid,True,False,relu,True,True,0.45474344492,0.755641460419,0.827828884125,0.965738475323,0.480923265219,0.737653613091,0.811292588711,0.955288648605
128,100,0.001,adam,34,60,0.0,0.0001,tanh,sigmoid,21,38,sigmoid,True,False,relu,True,True,0.117296226323,0.982657968998,0.971866548061,0.960313379765,0.325106948614,0.940098524094,0.915127813816,0.883374333382
128,100,0.001,adam,28,60,0.0,0.0001,tanh,relu,21,38,sigmoid,True,False,relu,True,True,0.166825339198,0.96586227417,0.965577065945,0.964792728424,0.325242638588,0.92244130373,0.923082411289,0.920706093311
128,100,0.001,adam,28,60,0.0,0.0001,tanh,linear,21,38,sigmoid,True,False,relu,True,True,0.246686890721,0.95481133461,0.941829323769,0.926756560802,0.348760396242,0.920266270638,0.912713050842,0.900159180164
128,100,0.001,adam,28,60,0.0,0.0001,tanh,tanh,21,38,sigmoid,True,False,relu,True,True,0.179189309478,0.982944607735,0.955268502235,0.926020562649,0.326550394297,0.947931408882,0.913636386395,0.871943295002
128,100,0.001,adam,28,60,0.0,0.0001,tanh,softmax,21,38,sigmoid,True,False,relu,True,True,0.455966293812,0.964156746864,0.836642622948,0.697104752064,0.474733740091,0.950558185577,0.8301846385,0.689914643764
128,100,0.001,adam,28,60,0.0,0.0001,tanh,sigmoid,21,38,sigmoid,True,False,relu,True,True,0.335149168968,0.895053327084,0.905305147171,0.916879594326,0.353713542223,0.880538403988,0.894673287868,0.908696293831
64,100,0.001,adam,28,60,0.0,0.0001,tanh,sigmoid,21,38,sigmoid,True,False,relu,True,True,0.435595065355,0.988876461983,0.836395382881,0.678276658058,0.493297487497,0.974793493748,0.825862526894,0.662539601326
256,100,0.001,adam,28,60,0.0,0.0001,tanh,sigmoid,21,38,sigmoid,True,False,relu,True,True,0.227833792567,0.952379584312,0.942167758942,0.930072128773,0.340520858765,0.916417002678,0.904048323631,0.885255396366
512,100,0.001,adam,28,60,0.0,0.0001,tanh,sigmoid,21,38,sigmoid,True,False,relu,True,True,0.321920514107,0.825193285942,0.883067250252,0.970081210136,0.451287209988,0.77855104208,0.833478033543,0.923360347748
768,100,0.001,adam,28,60,0.0,0.0001,tanh,sigmoid,21,38,sigmoid,True,False,relu,True,True,0.907146632671,0.511994302273,0.526452124119,0.999002933502,0.966487824917,0.503877699375,0.516710042953,0.995873272419
1024,100,0.001,adam,28,60,0.0,0.0001,tanh,sigmoid,21,38,sigmoid,True,False,relu,True,True,1.55538165569,0.496538341045,0.496688187122,0.999942958355,1.56922340393,0.491698592901,0.491736769676,1.0
128,100,0.001,rmsprop,28,60,0.0,0.0001,tanh,sigmoid,21,38,sigmoid,True,False,relu,True,True,0.173955991864,0.965667545795,0.94620090723,0.924577057362,0.272498726845,0.932180047035,0.91015625,0.881059169769
128,100,0.001,sgd,28,60,0.0,0.0001,tanh,sigmoid,21,38,sigmoid,True,False,relu,True,True,0.643831551075,0.936385750771,0.882262527943,0.818599879742,0.648188352585,0.929473519325,0.881107926369,0.819997131824
128,100,0.001,adam,28,60,0.0,0.0001,tanh,sigmoid,21,38,sigmoid,False,False,relu,True,True,0.215413451195,0.91923391819,0.921141684055,0.922312736511,0.243943095207,0.898815453053,0.906107962132,0.911300837994
128,100,0.001,adam,28,60,0.0,0.0001,tanh,sigmoid,21,38,sigmoid,False,False,relu,True,True,0.21807089448,0.984857618809,0.911397218704,0.834482967854,0.271245777607,0.969129383564,0.893394887447,0.80856603384
128,75,0.001,adam,28,60,0.0,0.0001,tanh,sigmoid,21,38,sigmoid,True,False,relu,True,True,0.173234686255,0.97170817852,0.951855838299,0.930165231228,0.330162227154,0.931551277637,0.905894875526,0.87237739563
128,100,0.001,adam,28,60,0.0,0.0001,tanh,sigmoid,21,38,sigmoid,True,False,relu,True,True,0.321148127317,0.896594941616,0.896054267883,0.893871903419,0.383912593126,0.86696100235,0.863352298737,0.852409183979
128,125,0.001,adam,28,60,0.0,0.0001,tanh,sigmoid,21,38,sigmoid,True,False,relu,True,True,0.225336581469,0.924918472767,0.936766684055,0.949809789658,0.301589369774,0.890911638737,0.905681788921,0.920561432838
128,100,0.001,adam,28,60,0.0,0.0001,tanh,sigmoid,21,30,sigmoid,True,False,relu,True,True,0.184826165438,0.917114078999,0.948076486588,0.98444288969,0.359784185886,0.853549301624,0.890482962132,0.937780320644
128,100,0.001,adam,28,60,0.0,0.0001,tanh,sigmoid,21,34,sigmoid,True,False,relu,True,True,0.186433389783,0.989786028862,0.945509910583,0.899588346481,0.379035890102,0.957833349705,0.899360775948,0.831572830677
