optimizer,num_channels,learning_rate,epochs,batch_size,use_residuals,use_bottleneck,shortcut_activation,reg_shortcut,reg_module,output_activation,num_filters,nr_modules,module_output_activation,module_activation,l2_r,l1_r,kernel_size,bottleneck_size,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
rmsprop,3,0.001,50,256,True,False,relu,False,False,sigmoid,24,27,relu,linear,0,0.0001,50,50,0.7163050174713135,0.5216619372367859,0.5208155512809753,0.3516696095466614,0.7136097550392151,0.5324574112892151,0.5376505851745605,0.36045002937316895
rmsprop,3,0.1,50,256,False,False,tanh,False,True,sigmoid,36,3,tanh,softmax,0.001,0.01,70,50,14027.0224609375,0.4920170307159424,0.4920170307159424,1.0,14027.0478515625,0.49240055680274963,0.49240055680274963,1.0
adam,3,0.1,50,512,True,True,relu,False,True,sigmoid,54,21,tanh,relu,0.01,0.1,60,44,,,,,,,,
sgd,3,0.1,50,128,False,True,softmax,True,True,sigmoid,34,3,sigmoid,linear,0.01,0.01,70,48,4.755577087402344,0.5080113410949707,0.0,0.0,4.755654811859131,0.507599413394928,0.0,0.0
adam,3,0.001,50,1024,True,False,softmax,False,False,sigmoid,38,6,sigmoid,softmax,0.0001,0,30,44,0.6929141879081726,0.507568359375,0.0,0.0,0.692946195602417,0.5082632303237915,0.0,0.0
adam,3,0.01,50,512,False,True,softmax,False,True,sigmoid,30,21,relu,softmax,0.0001,0.1,70,34,355.9415588378906,0.5076271891593933,0.0,0.0,355.94146728515625,0.5070891380310059,0.0,0.0
rmsprop,3,0.1,50,128,True,True,relu,False,True,sigmoid,40,24,relu,linear,0,0.0001,50,26,,,,,,,,
adam,3,0.001,50,512,True,True,sigmoid,True,True,sigmoid,48,9,relu,linear,0.001,0.01,40,42,6.160107612609863,0.5075273513793945,0.0,0.0,6.160162925720215,0.5070891380310059,0.0,0.0
sgd,3,0.001,50,256,True,True,sigmoid,True,False,sigmoid,48,3,sigmoid,linear,0.01,0.0001,20,46,6.080418586730957,0.5037925839424133,0.4941007196903229,0.35666030645370483,6.07999324798584,0.5093039870262146,0.502390444278717,0.36376747488975525
rmsprop,3,0.01,50,256,False,True,tanh,False,True,sigmoid,38,12,relu,linear,0.0001,0.1,30,40,628.7757568359375,0.508082389831543,0.0,0.0,628.7754516601562,0.507599413394928,0.0,0.0
rmsprop,3,0.01,50,1024,False,True,tanh,False,True,sigmoid,30,1,relu,softmax,0.001,0.1,60,40,139.43978881835938,0.5075539946556091,0.0,0.0,139.43968200683594,0.5082632303237915,0.0,0.0
adam,3,0.1,50,128,False,False,relu,False,True,sigmoid,24,21,relu,sigmoid,0.01,0.01,30,28,882.1780395507812,0.5080682039260864,0.0,0.0,882.17724609375,0.507599413394928,0.0,0.0
rmsprop,3,0.01,50,1024,True,False,relu,True,True,sigmoid,40,6,relu,linear,0.001,0,20,38,1.8905706405639648,0.5076689124107361,0.0,0.0,1.8670845031738281,0.5082632303237915,0.0,0.0
rmsprop,3,0.001,50,512,False,False,tanh,False,False,sigmoid,48,12,softmax,linear,0.1,0.0001,50,46,0.692863941192627,0.5076414346694946,0.0,0.0,0.6929253339767456,0.5070891380310059,0.0,0.0
adam,3,0.01,50,1024,True,True,relu,False,True,sigmoid,42,15,relu,softmax,0.01,0.01,40,42,31.864530563354492,0.5076114535331726,0.0,0.0,31.835886001586914,0.5082632303237915,0.0,0.0
rmsprop,3,0.1,50,256,True,True,softmax,True,True,sigmoid,28,6,linear,sigmoid,0.0001,0.1,40,30,9664.6669921875,0.5079971551895142,0.4583333432674408,0.000952903472352773,9664.6640625,0.5071022510528564,0.23076923191547394,0.00043271310278214514
adam,3,0.001,50,256,True,False,relu,True,False,sigmoid,54,18,sigmoid,linear,0.0001,0.0001,50,52,1.1333775520324707,0.5079261660575867,1.0,2.8865861168014817e-05,1.1334632635116577,0.5076704621315002,1.0,0.00014423771062865853
rmsprop,3,0.01,50,128,True,True,relu,False,False,sigmoid,42,6,softmax,linear,0.1,0.1,30,40,nan,nan,nan,nan,nan,nan,nan,nan
rmsprop,3,0.01,50,256,True,True,relu,False,True,sigmoid,54,9,relu,linear,0.01,0.001,20,36,nan,nan,nan,nan,nan,nan,nan,nan
