optimizer,num_channels,learning_rate,epochs,batch_size,use_residuals,use_bottleneck,shortcut_activation,reg_shortcut,reg_module,output_activation,num_filters,nr_modules,module_output_activation,module_activation,l2_r,l1_r,kernel_size,bottleneck_size,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
adam,3,0.01,100,1024,True,False,sigmoid,True,True,sigmoid,44,3,tanh,softmax,0.001,0.01,20,42,nan,nan,nan,nan,nan,nan,nan,nan
adam,3,0.01,100,256,False,False,softmax,True,True,sigmoid,34,15,sigmoid,sigmoid,0.001,0.0001,60,30,nan,nan,nan,nan,nan,nan,nan,nan
sgd,3,0.001,100,512,True,False,sigmoid,True,False,sigmoid,30,3,linear,sigmoid,0.01,0.01,60,28,nan,nan,nan,nan,nan,nan,nan,nan
rmsprop,3,0.01,100,512,True,False,sigmoid,True,True,sigmoid,32,18,relu,softmax,0.1,0.0001,50,26,nan,nan,nan,nan,nan,nan,nan,nan
rmsprop,3,0.1,100,512,False,False,tanh,True,True,sigmoid,40,3,linear,sigmoid,0.01,0,60,30,nan,nan,nan,nan,nan,nan,nan,nan
sgd,3,0.001,100,512,False,False,relu,True,False,sigmoid,38,18,sigmoid,linear,0.001,0.001,40,32,nan,nan,nan,nan,nan,nan,nan,nan
rmsprop,3,0.001,100,128,True,True,softmax,False,False,sigmoid,38,1,tanh,softmax,0.1,0.001,50,30,nan,nan,nan,nan,nan,nan,nan,nan
adam,3,0.01,100,128,True,True,softmax,True,True,sigmoid,26,9,linear,softmax,0.0001,0.01,40,38,nan,nan,nan,nan,nan,nan,nan,nan
rmsprop,3,0.01,100,128,True,False,relu,True,False,sigmoid,40,3,relu,softmax,0.1,0.01,30,34,nan,nan,nan,nan,nan,nan,nan,nan
sgd,3,0.01,100,128,True,False,relu,False,True,sigmoid,36,3,sigmoid,linear,0.01,0,40,32,nan,nan,nan,nan,nan,nan,nan,nan
sgd,3,0.1,100,256,False,False,sigmoid,False,False,sigmoid,26,1,relu,softmax,0.0001,0,40,34,nan,nan,nan,nan,nan,nan,nan,nan
sgd,3,0.001,100,1024,True,False,tanh,True,True,sigmoid,44,12,relu,linear,0,0.1,60,26,nan,nan,nan,nan,nan,nan,nan,nan
rmsprop,3,0.001,100,512,False,True,sigmoid,True,False,sigmoid,42,1,tanh,tanh,0.001,0.001,40,34,nan,nan,nan,nan,nan,nan,nan,nan
adam,3,0.1,100,1024,True,True,sigmoid,False,True,sigmoid,44,6,tanh,sigmoid,0.1,0.01,50,30,nan,nan,nan,nan,nan,nan,nan,nan
adam,3,0.001,100,256,True,True,tanh,True,True,sigmoid,30,3,tanh,sigmoid,0.01,0.001,60,32,nan,nan,nan,nan,nan,nan,nan,nan
adam,3,0.1,100,512,False,True,tanh,True,False,sigmoid,42,6,tanh,relu,0.001,0.01,60,38,nan,nan,nan,nan,nan,nan,nan,nan
sgd,3,0.01,100,128,True,True,relu,True,True,sigmoid,36,18,tanh,relu,0.1,0.01,30,38,nan,nan,nan,nan,nan,nan,nan,nan
rmsprop,3,0.001,100,1024,True,True,sigmoid,False,True,sigmoid,24,6,softmax,linear,0.1,0.0001,30,42,nan,nan,nan,nan,nan,nan,nan,nan
rmsprop,3,0.1,100,128,True,False,tanh,False,True,sigmoid,24,6,softmax,sigmoid,0.001,0.001,50,36,nan,nan,nan,nan,nan,nan,nan,nan
sgd,3,0.1,100,128,True,True,sigmoid,True,False,sigmoid,40,6,sigmoid,sigmoid,0.01,0.01,30,40,nan,nan,nan,nan,nan,nan,nan,nan
rmsprop,3,0.1,100,256,True,False,relu,True,False,sigmoid,28,15,softmax,linear,0,0.01,60,34,nan,nan,nan,nan,nan,nan,nan,nan
sgd,3,0.001,100,128,True,False,softmax,False,True,sigmoid,36,18,sigmoid,tanh,0.0001,0.01,30,34,nan,nan,nan,nan,nan,nan,nan,nan
sgd,3,0.01,100,512,False,False,tanh,True,False,sigmoid,42,3,sigmoid,tanh,0.01,0.0001,20,38,nan,nan,nan,nan,nan,nan,nan,nan
sgd,3,0.001,100,512,True,True,sigmoid,True,True,sigmoid,36,9,relu,relu,0.001,0,30,34,nan,nan,nan,nan,nan,nan,nan,nan
sgd,3,0.1,100,512,True,True,softmax,True,False,sigmoid,36,15,relu,relu,0.01,0.0001,20,34,nan,nan,nan,nan,nan,nan,nan,nan
adam,3,0.1,100,1024,True,True,softmax,True,True,sigmoid,28,6,linear,linear,0.001,0.01,40,32,nan,nan,nan,nan,nan,nan,nan,nan
rmsprop,3,0.01,100,1024,True,True,relu,False,True,sigmoid,38,1,sigmoid,linear,0.01,0.01,30,34,nan,nan,nan,nan,nan,nan,nan,nan
sgd,3,0.01,100,256,False,False,sigmoid,True,True,sigmoid,26,18,sigmoid,softmax,0.01,0.001,20,40,nan,nan,nan,nan,nan,nan,nan,nan
adam,3,0.1,100,256,True,True,relu,True,False,sigmoid,28,15,tanh,linear,0,0.01,40,32,nan,nan,nan,nan,nan,nan,nan,nan
adam,3,0.01,100,256,False,True,sigmoid,False,True,sigmoid,44,3,linear,softmax,0,0.01,60,36,nan,nan,nan,nan,nan,nan,nan,nan
adam,3,0.001,100,128,True,True,relu,False,True,sigmoid,24,12,linear,sigmoid,0.01,0.0001,30,42,nan,nan,nan,nan,nan,nan,nan,nan
adam,3,0.01,100,512,True,True,sigmoid,True,True,sigmoid,36,1,sigmoid,sigmoid,0,0,40,40,nan,nan,nan,nan,nan,nan,nan,nan
adam,3,0.001,100,1024,True,True,sigmoid,True,False,sigmoid,28,1,sigmoid,sigmoid,0.0001,0.0001,30,38,nan,nan,nan,nan,nan,nan,nan,nan
sgd,3,0.001,100,1024,True,True,sigmoid,False,True,sigmoid,24,9,sigmoid,softmax,0.1,0.01,60,36,nan,nan,nan,nan,nan,nan,nan,nan
sgd,3,0.001,100,256,False,True,tanh,False,False,sigmoid,28,18,relu,relu,0.01,0.1,40,36,nan,nan,nan,nan,nan,nan,nan,nan
rmsprop,3,0.01,100,1024,True,True,softmax,False,True,sigmoid,24,9,tanh,softmax,0,0.01,40,30,nan,nan,nan,nan,nan,nan,nan,nan
adam,3,0.001,100,256,True,True,relu,True,False,sigmoid,32,1,tanh,tanh,0.0001,0.1,30,26,nan,nan,nan,nan,nan,nan,nan,nan
adam,3,0.1,100,256,True,True,relu,True,True,sigmoid,42,9,relu,linear,0.001,0.0001,20,26,nan,nan,nan,nan,nan,nan,nan,nan
rmsprop,3,0.01,100,1024,False,True,tanh,False,True,sigmoid,44,15,relu,relu,0.01,0.1,60,40,nan,nan,nan,nan,nan,nan,nan,nan
rmsprop,3,0.01,100,512,False,True,relu,True,True,sigmoid,38,3,sigmoid,linear,0.001,0.01,30,40,nan,nan,nan,nan,nan,nan,nan,nan
rmsprop,3,0.1,100,128,True,False,softmax,False,True,sigmoid,28,12,linear,relu,0.0001,0.01,40,30,nan,nan,nan,nan,nan,nan,nan,nan
adam,3,0.001,100,1024,True,False,softmax,True,True,sigmoid,24,18,relu,linear,0.01,0.1,20,34,nan,nan,nan,nan,nan,nan,nan,nan
sgd,3,0.1,100,1024,False,True,tanh,True,True,sigmoid,32,3,relu,linear,0.001,0,30,40,nan,nan,nan,nan,nan,nan,nan,nan
rmsprop,3,0.01,100,1024,False,True,tanh,True,True,sigmoid,30,12,linear,softmax,0.01,0.1,20,36,nan,nan,nan,nan,nan,nan,nan,nan
adam,3,0.01,100,512,True,True,relu,True,False,sigmoid,38,6,softmax,sigmoid,0.1,0,40,30,nan,nan,nan,nan,nan,nan,nan,nan
