optimizer,num_channels,learning_rate,epochs,batch_size,use_residuals,use_bottleneck,shortcut_activation,reg_shortcut,reg_module,output_activation,num_filters,nr_modules,module_output_activation,module_activation,l2_r,l1_r,kernel_size,bottleneck_size,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
adam,3,0.001,50,256,True,True,sigmoid,True,True,sigmoid,32,1,relu,linear,0.1,0,50,28,0.7087786197662354,0.4918784499168396,0.4973295331001282,0.6628357172012329,0.7086696028709412,0.49468371272087097,0.5005682110786438,0.6643588542938232
adam,3,0.01,50,128,True,True,sigmoid,False,False,sigmoid,32,24,linear,sigmoid,0.001,0.001,20,38,0.6930637359619141,0.0,0.5079119205474854,0.0,0.693084180355072,0.0,0.507599413394928,0.0
adam,3,0.1,50,128,True,False,sigmoid,False,False,sigmoid,50,21,sigmoid,relu,0.01,0,20,30,0.693058431148529,0.0,0.5080113410949707,0.0,0.693066418170929,0.0,0.507599413394928,0.0
rmsprop,3,0.01,50,512,False,True,relu,False,False,sigmoid,52,33,linear,linear,0.0001,0.001,30,40,,,,,,,,
rmsprop,3,0.001,50,1024,True,True,relu,False,True,sigmoid,24,21,tanh,tanh,0.01,0.001,20,48,1.2594292163848877,0.5331010222434998,0.5078268647193909,0.0044619422405958176,1.2601820230484009,0.380952388048172,0.5071364045143127,0.0036663610953837633
adam,3,0.001,50,1024,False,False,sigmoid,False,False,sigmoid,48,27,relu,linear,0.01,0,40,40,0.6929285526275635,0.0,0.5078412294387817,0.0,0.6929086446762085,0.0,0.5082632303237915,0.0
rmsprop,3,0.001,50,128,True,False,relu,False,True,sigmoid,52,18,linear,relu,0.0001,0.0001,70,50,4.803513050079346,0.4920170307159424,0.4920170307159424,1.0,4.807727813720703,0.49240055680274963,0.49240055680274963,1.0
rmsprop,3,0.01,50,256,False,True,relu,False,True,sigmoid,46,9,relu,softmax,0.01,0.1,70,28,861.1206665039062,0.0,0.5077698826789856,0.0,861.119384765625,0.0,0.507599413394928,0.0
adam,3,0.001,50,128,True,False,sigmoid,False,False,sigmoid,40,15,relu,tanh,0.01,0.001,70,40,0.6931986808776855,0.4895285367965698,0.4990340769290924,0.4217013418674469,0.6932350993156433,0.49482643604278564,0.5031960010528564,0.42766478657722473
adam,3,0.001,50,1024,False,False,relu,True,True,sigmoid,40,6,tanh,relu,0.01,0.001,30,28,2.3249495029449463,0.0,0.5078699588775635,0.0,2.324958562850952,0.0,0.5082632303237915,0.0
sgd,3,0.001,50,512,True,True,relu,False,False,sigmoid,32,12,softmax,linear,0,0.01,60,34,0.6953980326652527,0.49182653427124023,0.4959939420223236,0.7438840866088867,0.6952220797538757,0.49142134189605713,0.4943576455116272,0.7398003935813904
adam,3,0.01,50,1024,False,True,softmax,False,True,sigmoid,28,24,tanh,relu,0,0,60,38,0.6929213404655457,0.0,0.5081140995025635,0.0,0.6929086446762085,0.0,0.5082632303237915,0.0
sgd,3,0.01,50,256,True,True,tanh,False,False,sigmoid,46,15,sigmoid,linear,0.001,0,40,42,0.6969673037528992,0.48432907462120056,0.5071306824684143,0.02855575457215309,0.6976296305656433,0.4394299387931824,0.5039772987365723,0.026683975011110306
adam,3,0.01,50,1024,False,False,relu,False,False,sigmoid,48,33,linear,linear,0,0.01,20,52,,,,,,,,
rmsprop,3,0.01,50,1024,True,True,relu,True,True,sigmoid,44,24,tanh,softmax,0.1,0.0001,40,26,9.777131080627441,0.0,0.5077550411224365,0.0,9.77710247039795,0.0,0.5082632303237915,0.0
sgd,3,0.01,50,512,True,True,tanh,True,False,sigmoid,24,15,linear,linear,0.0001,0.0001,60,28,1.5771219730377197,0.49554815888404846,0.5045763254165649,0.36594831943511963,1.5771088600158691,0.4919913113117218,0.5012297630310059,0.36513060331344604
adam,3,0.001,50,512,False,True,relu,False,True,sigmoid,38,33,tanh,softmax,0.01,0.001,70,50,1.7186474800109863,0.0,0.507655680179596,0.0,1.7186925411224365,0.0,0.5070891380310059,0.0
rmsprop,3,0.001,50,1024,True,False,sigmoid,False,True,sigmoid,38,18,relu,relu,0.001,0.01,20,26,56.992313385009766,0.0,0.5078843235969543,0.0,56.99229431152344,0.0,0.5082632303237915,0.0
rmsprop,3,0.01,50,128,False,True,softmax,False,False,sigmoid,50,27,relu,sigmoid,0.1,0.001,40,32,0.692919909954071,0.0,0.508025586605072,0.0,0.6929421424865723,0.0,0.507599413394928,0.0
adam,3,0.001,50,256,True,True,sigmoid,False,True,sigmoid,32,3,softmax,linear,0.0001,0,20,36,0.694818913936615,0.4930056631565094,0.5002272725105286,0.556572437286377,0.6944424510002136,0.4919772148132324,0.4987926185131073,0.5483917593955994
sgd,3,0.1,50,512,True,True,sigmoid,False,True,sigmoid,24,24,sigmoid,softmax,0.0001,0.001,70,36,0.829561173915863,0.49398505687713623,0.506942868232727,0.11310524493455887,0.8294799327850342,0.48241540789604187,0.5032551884651184,0.1066921055316925
adam,3,0.001,50,512,False,False,relu,True,True,sigmoid,32,3,sigmoid,linear,0.001,0.1,70,48,309.0926818847656,0.0,0.5077982544898987,0.0,309.09271240234375,0.0,0.5070891380310059,0.0
adam,3,0.01,50,128,False,True,tanh,False,False,sigmoid,48,15,tanh,relu,0.01,0.001,20,28,0.6928533315658569,0.0,0.5080965757369995,0.0,0.6928888559341431,0.0,0.507599413394928,0.0
adam,3,0.001,50,256,False,True,relu,False,True,sigmoid,44,1,relu,sigmoid,0.0001,0.001,50,46,0.7420058250427246,0.0,0.508295476436615,0.0,0.7420124411582947,0.0,0.507599413394928,0.0
rmsprop,3,0.01,50,128,True,True,relu,True,False,sigmoid,28,21,sigmoid,sigmoid,0.0001,0.01,50,48,38.109619140625,0.4919527769088745,0.49196022748947144,0.9999711513519287,38.1096076965332,0.49240055680274963,0.49240055680274963,1.0
adam,3,0.001,50,512,False,True,relu,False,False,sigmoid,50,12,softmax,sigmoid,0.0001,0.001,20,42,0.6929138898849487,0.0,0.5078837871551514,0.0,0.6929253339767456,0.0,0.5070891380310059,0.0
adam,3,0.01,50,512,True,False,relu,False,True,sigmoid,24,1,sigmoid,linear,0.001,0.001,70,38,18.443885803222656,0.49231579899787903,0.49231579899787903,1.0,18.443613052368164,0.49291089177131653,0.49291089177131653,1.0
adam,3,0.001,50,512,True,True,relu,False,False,sigmoid,50,18,tanh,softmax,0.001,0,20,44,0.6931740641593933,0.4695121943950653,0.5075131058692932,0.0022296220995485783,0.6931785345077515,0.29411765933036804,0.5060763955116272,0.0014675668207928538
rmsprop,3,0.01,50,256,True,True,relu,False,True,sigmoid,52,27,relu,sigmoid,0,0.01,20,38,89.46942901611328,0.4920596480369568,0.4920596480369568,1.0,89.46939849853516,0.49240055680274963,0.49240055680274963,1.0
