meier_load,units,output_layer_activation,optimizer,learning_rate,epochs,batch_size,train_loss,train_accuracy,train_precision,train_recall,train_f3,val_loss,val_accuracy,val_precision,val_recall,val_f3,confusion_matrix
False,64,sigmoid,adam,0.001,50,128,,,,,,,,,,,
False,128,sigmoid,adam,0.001,50,128,,,,,,,,,,,
False,8,sigmoid,adam,0.001,50,128,,,,,,,,,,,
False,8,sigmoid,adam,0.001,50,128,,,,,,,,,,,
False,64,sigmoid,adam,0.001,50,128,,,,,,,,,,,
False,128,sigmoid,adam,0.001,50,128,,,,,,,,,,,
False,8,sigmoid,adam,0.001,50,128,,,,,,,,,,,
False,64,sigmoid,adam,0.001,50,128,,,,,,,,,,,
False,128,sigmoid,adam,0.001,50,128,,,,,,,,,,,
False,64,sigmoid,adam,0.001,50,128,,,,,,,,,,,
False,8,sigmoid,adam,0.001,50,128,,,,,,,,,,,
False,128,sigmoid,adam,0.001,50,128,,,,,,,,,,,
False,8,sigmoid,adam,0.001,50,128,,,,,,,,,,,
False,128,sigmoid,adam,0.001,50,128,,,,,,,,,,,
False,64,sigmoid,adam,0.001,50,128,,,,,,,,,,,
False,8,sigmoid,adam,0.001,50,128,,,,,,,,,,,
False,128,sigmoid,adam,0.001,50,128,,,,,,,,,,,
False,64,sigmoid,adam,0.001,50,128,,,,,,,,,,,
False,128,sigmoid,adam,0.001,50,128,,,,,,,,,,,
False,8,sigmoid,adam,0.001,50,128,,,,,,,,,,,
False,64,sigmoid,adam,0.001,50,128,,,,,,,,,,,
False,8,sigmoid,adam,0.001,50,128,,,,,,,,,,,
False,64,sigmoid,adam,0.001,50,128,,,,,,,,,,,
False,128,sigmoid,adam,0.001,50,128,,,,,,,,,,,
False,128,sigmoid,adam,0.001,50,128,,,,,,,,,,,
False,64,sigmoid,adam,0.001,50,128,,,,,,,,,,,
False,8,sigmoid,adam,0.001,50,128,,,,,,,,,,,
False,64,sigmoid,adam,0.001,50,128,0.652714431286,0.640625,0.687267,0.500124,0.514123,0.705360591412,0.7390625,0.13125,0.428571,0.349418,"[[452 139]
 [ 28  21]]"
False,128,sigmoid,adam,0.001,50,128,,,,,,,,,,,
