,batch_size,epochs,learning_rate,optimizer,start_neurons,dropout_rate,filters,kernel_size,padding,l2_r,l1_r,activation,output_layer_activation,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
0,1024,25,0.01,sgd,sigmoid,0.001,11,13,0.01,0.0001,softmax,same,32,3.65402936935,0.35546875,0.5,0.0009765625,3.6665866375,0.311848968267,0.5,0.000651041686069
1,16,30,1e-05,adam,softmax,0.1,23,9,0.1,0.0001,sigmoid,same,256,1.92655026913,0.324142158031,0.333333343267,1.0,1.92680549622,0.312152773142,0.333333343267,1.0
2,128,25,0.01,adam,sigmoid,0.001,15,5,0.3,0.3,softmax,same,64,585.945983887,0.341796875,0.0,0.0,585.944519043,0.351902186871,0.0,0.0
3,32,30,0.0001,adam,softmax,0.1,13,7,0.001,0.0001,softmax,same,512,1.26036679745,0.321691185236,0.0,0.0,1.26052570343,0.3125,0.0,0.0
4,16,35,0.01,rmsprop,relu,0.001,13,13,0.0001,0.1,sigmoid,same,512,50.5593070984,0.337009817362,0.333333343267,1.0,51.8301124573,0.335416674614,0.333333343267,1.0
5,128,35,0.1,sgd,tanh,0.01,21,7,0.1,0.0001,sigmoid,same,64,762.05645752,0.341796875,0.333333343267,1.0,762.05657959,0.352581530809,0.333333343267,1.0
6,64,30,0.001,rmsprop,sigmoid,0.1,13,3,0.3,0.0001,sigmoid,same,64,228.841873169,0.338750004768,0.333333343267,1.0,228.841903687,0.335763901472,0.333333343267,1.0
7,128,25,0.001,rmsprop,relu,0.1,15,3,0.2,0.3,softmax,same,64,155.6378479,0.32421875,0.0,0.0,155.639053345,0.3125,0.0,0.0
8,1024,35,1e-05,sgd,sigmoid,0.1,25,9,0.01,0.0001,sigmoid,same,16,62.2546615601,0.3330078125,0.352015733719,0.69921875,62.2475852966,0.361328125,0.348176151514,0.689778625965
9,32,35,0.0001,adam,softmax,0.5,17,5,0.2,0.01,softmax,same,64,4.89251756668,0.321691185236,0.0,0.0,4.89270687103,0.312847226858,0.0,0.0
10,1024,35,1e-05,rmsprop,tanh,0.01,11,9,0.1,0.3,sigmoid,same,64,1756.04296875,0.3095703125,0.328258216381,0.5263671875,1756.05627441,0.331705719233,0.329774618149,0.54296875
11,1024,30,0.0001,adam,sigmoid,0.01,23,9,0.3,0.001,sigmoid,same,256,446.975219727,0.3271484375,0.333333343267,1.0,446.973876953,0.356770843267,0.333333343267,1.0
12,16,25,0.0001,sgd,tanh,0.5,17,13,0.3,0.001,softmax,same,128,15.2782621384,0.338848024607,0.0,0.0,15.2778568268,0.351736098528,0.0,0.0
13,256,25,1e-05,adam,relu,0.4,19,9,0.1,0.001,sigmoid,same,32,307.775177002,0.341145843267,0.392857134342,0.0143229169771,307.772369385,0.3330078125,0.420289844275,0.0188802089542
14,16,35,1e-05,rmsprop,sigmoid,0.4,25,11,0.3,0.0001,softmax,same,64,3.42436003685,0.338848024607,0.0,0.0,3.4243543148,0.352083325386,0.0,0.0
15,32,30,0.001,sgd,relu,0.3,21,5,0.2,0.2,softmax,same,128,63.2658462524,0.321691185236,0.0,0.0,63.2660522461,0.312152773142,0.0,0.0
16,1024,25,0.0001,sgd,softmax,0.5,25,11,0.001,0.01,sigmoid,same,32,16.850358963,0.3271484375,0.333333343267,1.0,16.8487224579,0.353841155767,0.333333343267,1.0
17,32,25,0.1,sgd,tanh,0.4,11,5,0.3,0.3,sigmoid,same,1024,126295.078125,0.332107841969,0.335252970457,0.998774528503,126295.125,0.323263883591,0.335236549377,0.998958349228
18,512,25,1e-05,rmsprop,tanh,0.3,11,9,0.1,0.2,softmax,same,256,5401.35742188,0.358723968267,0.341688662767,0.168619796634,5401.41943359,0.337239593267,0.342511743307,0.166015625
19,32,35,0.001,adam,sigmoid,0,21,11,0.0001,0.2,softmax,same,16,1.26300644875,0.337009817362,0.0,0.0,1.26341509819,0.334027767181,0.0,0.0
20,16,30,0.1,adam,sigmoid,0.001,19,3,0.3,0.2,sigmoid,same,512,50976.3203125,0.337009817362,0.333333343267,1.0,50976.3554688,0.335763901472,0.333333343267,1.0
21,512,30,1e-05,sgd,tanh,0.01,19,5,0.1,0.0001,sigmoid,same,1024,32568.6972656,0.357421875,0.333616286516,0.51171875,32568.7050781,0.3408203125,0.338384926319,0.5087890625
22,256,35,0.01,sgd,tanh,0.4,11,3,0.1,0.001,sigmoid,same,64,78.4331588745,0.331380218267,0.3359375,0.671875,78.4315719604,0.339192718267,0.34375,0.6875
23,16,25,0.0001,rmsprop,tanh,0.3,13,11,0.1,0.001,sigmoid,same,1024,134.461486816,0.338848024607,0.333333343267,1.0,134.460876465,0.352083325386,0.333333343267,1.0
24,128,25,0.1,rmsprop,sigmoid,0.4,17,5,0.2,0.0001,softmax,same,256,25217.9453125,0.341796875,0.0,0.0,25217.9433594,0.350543469191,0.0,0.0
25,128,35,1e-05,rmsprop,tanh,0.001,23,5,0.1,0.1,sigmoid,same,128,127.969261169,0.320963531733,0.334725260735,0.991536438465,127.971405029,0.322690218687,0.335325211287,0.991168498993
26,16,30,0.01,rmsprop,relu,0.001,21,11,0.01,0.2,sigmoid,same,128,172.614456177,0.337009817362,0.34066927433,0.692401945591,172.824615479,0.335416674614,0.347155600786,0.703472197056
27,512,35,0.1,sgd,relu,0.4,25,11,0.001,0.001,softmax,same,512,73.1291122437,0.331380218267,0.800000011921,0.00260416674428,73.1399917603,0.356770843267,0.625,0.00162760412786
28,512,30,0.0001,rmsprop,sigmoid,0.4,17,11,0.01,0.001,softmax,same,512,,,,,,,,
