batch_size,epochs,learning_rate,num_channels,optimizer,bottleneck_size,kernel_size,l1_r,l2_r,module_activation,module_output_activation,nr_modules,num_filters,output_activation,reg_module,reg_shortcut,shortcut_activation,use_bottleneck,use_residuals,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
512,100,0.001,3,adam,28,20,0.0001,0.1,relu,tanh,3,28,sigmoid,False,True,softmax,False,False,0.596729278564,0.662281751633,0.662274122238,0.999964475632,0.608920454979,0.65478515625,0.65478515625,1.0
1024,100,0.1,3,adam,32,40,0.0001,0.0,relu,sigmoid,1,32,sigmoid,False,True,softmax,True,False,0.164333745837,0.957299947739,0.949385464191,0.966760098934,0.342573672533,0.886792480946,0.850708007812,0.884973883629
1024,100,0.0005,3,adam,28,50,0.0,0.001,linear,sigmoid,9,34,sigmoid,False,False,sigmoid,True,False,0.718167483807,0.662609577179,0.662609577179,1.0,0.730426311493,0.65478515625,0.65478515625,1.0
128,100,0.001,3,adam,34,40,0.001,0.001,tanh,relu,1,38,sigmoid,False,True,tanh,True,False,0.236857220531,0.978322386742,0.902202546597,0.871746599674,0.339477390051,0.948514044285,0.853338062763,0.820271492004
128,100,1e-05,3,adam,34,30,0.0,0.0001,sigmoid,sigmoid,12,32,sigmoid,True,True,sigmoid,True,False,0.486471533775,0.875201523304,0.866434514523,0.930049955845,0.608482003212,0.831938624382,0.78662109375,0.858891308308
sgd,3,0.0005,100,256,True,False,relu,True,True,sigmoid,30,9,softmax,relu,0.1,0.1,30,26,30.175245285,0.662391781807,0.662391781807,1.0,30.1796646118,0.654000937939,0.654000937939,1.0
sgd,3,0.01,100,1024,True,True,relu,True,True,sigmoid,32,3,sigmoid,relu,0.0001,0.001,40,26,3.5211751461,0.941836178303,0.891268074512,0.890866577625,3.63126897812,0.87735658884,0.809448242188,0.824198365211
sgd,3,0.1,100,256,False,False,tanh,True,True,sigmoid,28,6,relu,linear,0.001,0,20,34,1.59836423397,0.854573965073,0.826265990734,0.889192640781,1.60342359543,0.830569922924,0.799124062061,0.870407223701
sgd,3,0.001,100,1024,False,True,relu,True,True,sigmoid,28,12,sigmoid,tanh,0,0.0001,50,36,3.85657215118,0.849668383598,0.811666369438,0.869844794273,3.88528847694,0.831720411777,0.797119140625,0.865212500095
adam,3,0.0005,100,256,False,True,tanh,True,False,sigmoid,42,1,tanh,relu,0,0,30,28,0.144927605987,0.923940300941,0.942018091679,0.994315743446,0.420580327511,0.829153120518,0.824455499649,0.921447992325
rmsprop,3,0.001,100,512,True,False,tanh,False,False,sigmoid,34,6,linear,tanh,0,0.001,30,30,0.398549288511,0.780956983566,0.80228728056,0.975406348705,0.467864990234,0.742964923382,0.754150390625,0.954884409904
sgd,3,0.1,100,512,True,False,tanh,True,True,sigmoid,32,3,tanh,linear,0.0001,0.001,30,36,4.39702987671,0.663140296936,0.662697672844,0.99868708849,4.44890499115,0.654772102833,0.654418945312,0.998881459236
adam,3,0.0005,100,512,True,True,softmax,True,True,sigmoid,32,9,sigmoid,softmax,0.001,0.0001,20,26,0.64708340168,0.662932991982,0.662932991982,1.0,0.651996970177,0.65478515625,0.65478515625,1.0
sgd,3,0.1,100,1024,False,True,relu,False,False,sigmoid,42,3,linear,relu,0.0001,0,50,34,0.644114434719,0.66267991066,0.66179972887,0.997520506382,0.6552734375,0.654349684715,0.653198242188,0.997017145157
rmsprop,3,0.0005,100,256,True,False,softmax,True,True,sigmoid,38,6,tanh,sigmoid,0,0.1,20,34,203.469100952,0.662485897541,0.662485897541,1.0,203.475067139,0.654000937939,0.654000937939,1.0
sgd,3,0.1,100,256,True,False,relu,True,True,sigmoid,24,9,relu,tanh,0.0001,0.001,30,34,1.14056134224,0.886310338974,0.864481389523,0.912586569786,1.20188760757,0.861208081245,0.835819125175,0.892850697041
rmsprop,3,0.0005,100,128,False,True,softmax,False,False,sigmoid,26,9,tanh,relu,0.001,0.1,20,26,0.663591861725,0.844152271748,0.513554215431,0.326052993536,0.660614967346,0.83356320858,0.517755687237,0.328144788742
sgd,3,0.1,100,512,False,False,sigmoid,False,False,sigmoid,40,12,sigmoid,relu,0,0,40,28,0.680799365044,0.662932991982,0.662932991982,1.0,0.691467285156,0.65478515625,0.65478515625,1.0
rmsprop,3,0.001,100,1024,False,True,tanh,True,True,sigmoid,38,6,softmax,linear,0.001,0.0001,50,28,0.680102229118,0.662514269352,0.662514269352,1.0,0.685245752335,0.65478515625,0.65478515625,1.0
