optimizer,num_layers,learning_rate,epochs,batch_size,use_layerwise_dropout_batchnorm,start_neurons,padding,output_layer_activation,l2_r,l1_r,kernel_size,filters,dropout_rate,decay_sequence,activation,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
rmsprop,5,0.001,50,128,False,380,same,sigmoid,0.1,0.1,73,24,0.001,"[1, 2, 4, 4, 2]",relu,,,,,,,,
rmsprop,6,0.01,50,256,False,300,same,sigmoid,0.0001,0.2,35,34,0.001,"[1, 4, 8, 8, 4, 1]",relu,,,,,,,,
sgd,2,0.0001,50,64,True,270,same,sigmoid,0.001,0.001,36,46,0.3,"[1, 4]",tanh,1.38815057278,0.500153422356,0.491658747196,0.484295368195,1.38461220264,0.505507230759,0.494655281305,0.484428167343
sgd,5,0.001,50,256,True,130,same,sigmoid,0.01,0.2,28,66,0.3,"[1, 2, 4, 4, 2]",softmax,2.76461911201,0.490876853466,0.490876853466,1.0,2.76455807686,0.494921892881,0.494921892881,1.0
adam,3,0.01,50,256,True,180,same,sigmoid,0.0001,0.0001,22,16,0.3,"[1, 0.5, 0.25]",relu,0.956189215183,0.527934849262,0.510815382004,0.97374600172,0.956863284111,0.529687523842,0.51492023468,0.969427764416
sgd,3,0.001,50,64,False,240,same,sigmoid,0.2,0.001,70,68,0.01,"[1, 1, 1]",relu,0.801474928856,0.591269433498,0.562937617302,0.753004848957,0.800731241703,0.590548217297,0.56353700161,0.750259876251
sgd,3,0.0001,50,64,True,230,same,sigmoid,0.1,0.0001,34,36,0.2,"[1, 2, 4]",sigmoid,4.63342523575,0.508745908737,0.5,0.000260281114606,4.63378000259,0.497822761536,0.0,0.0
rmsprop,4,0.0001,50,256,False,260,same,sigmoid,0.001,0.01,50,74,0,"[1, 4, 8, 8]",tanh,0.753504574299,0.552605867386,0.52489054203,0.946564912796,0.755208313465,0.553515672684,0.526083111763,0.943695545197
sgd,1,0.01,50,64,True,270,same,sigmoid,0.3,0.3,58,72,0.3,[1],tanh,6.3132982254,0.540967702866,0.523847162724,0.725219845772,6.31355190277,0.539446771145,0.521511435509,0.728698372841
sgd,3,0.01,50,128,False,150,same,sigmoid,0.1,0.3,28,30,0.2,"[1, 1, 1]",relu,12.6638889313,0.526844263077,0.522824764252,0.425645023584,12.664065361,0.522797167301,0.518553733826,0.425448894501
sgd,5,0.001,50,64,True,130,same,sigmoid,0.3,0.01,34,72,0.2,"[1, 0.5, 0.25, 0.25, 0.5]",softmax,1.05670201778,0.508490204811,0.0,0.0,1.05679929256,0.498847365379,0.0,0.0
adam,5,0.01,50,256,False,280,same,sigmoid,0.3,0.1,32,18,0.01,"[1, 4, 8, 8, 4]",tanh,2.39791035652,0.50801807642,0.0,0.0,2.39727377892,0.512369811535,0.0,0.0
adam,2,0.001,50,256,False,180,same,sigmoid,0.2,0.3,18,66,0.2,"[1, 2]",relu,1.43913269043,0.574244439602,0.541824698448,0.866352915764,1.43872654438,0.568619847298,0.53430390358,0.85764169693
adam,1,0.001,50,64,False,290,same,sigmoid,0.2,0.1,34,24,0.2,[1],tanh,1.04736399651,0.508720338345,0.0,0.0,1.04724037647,0.510630130768,0.0,0.0
adam,1,0.0001,50,256,False,170,same,sigmoid,0.001,0.2,14,46,0.001,[1],softmax,0.698001146317,0.507992386818,0.0,0.0,0.697798371315,0.515494823456,0.0,0.0
sgd,2,0.001,50,64,False,280,same,sigmoid,0.001,0.0001,74,64,0.3,"[1, 1]",tanh,1.15499210358,0.521225452423,0.50819671154,0.790651679039,1.15576183796,0.519595324993,0.505507349968,0.793555140495
adam,5,0.001,50,256,True,280,same,sigmoid,0.0001,0.0001,72,54,0.3,"[1, 4, 8, 8, 4]",relu,0.729694366455,0.51220703125,0.501988530159,0.983115553856,0.731021344662,0.505859375,0.495606333017,0.982841789722
adam,5,0.0001,50,128,True,150,same,sigmoid,0.01,0.0001,86,56,0.01,"[1, 2, 4, 4, 2]",relu,0.736902177334,0.530814528465,0.512053310871,0.976874947548,0.73750436306,0.528688549995,0.509637773037,0.975660860538
sgd,5,0.01,50,128,True,140,same,sigmoid,0.001,0.3,44,46,0.001,"[1, 0.5, 0.25, 0.25, 0.5]",softmax,1433.52319336,0.508299171925,0.0,0.0,1433.51940918,0.512423157692,0.0,0.0
sgd,3,0.0001,50,256,True,260,same,sigmoid,0.001,0.3,88,38,0,"[1, 4, 8]",softmax,212.761886597,0.508429288864,0.0,0.0,212.762054443,0.512239634991,0.0,0.0
sgd,5,0.001,50,256,True,230,same,sigmoid,0.0001,0.3,68,72,0.1,"[1, 4, 8, 8, 4]",softmax,6.5470905304,0.50899463892,0.0,0.0,6.54708909988,0.513671875,0.0,0.0
rmsprop,3,0.001,50,256,False,280,same,sigmoid,0.01,0.001,18,42,0.3,"[1, 0.5, 0.25]",relu,0.817340612411,0.55789989233,0.527987480164,0.95370465517,0.817647516727,0.56380212307,0.532825291157,0.957345962524
sgd,1,0.001,50,128,False,210,same,sigmoid,0.0001,0.3,64,22,0.3,[1],relu,1.26707053185,0.530660867691,0.520361125469,0.570959329605,1.26482832432,0.541367888451,0.52566832304,0.585044741631
sgd,1,0.001,50,64,True,160,same,sigmoid,0.001,0.01,50,14,0.001,[1],relu,1.1402746439,0.518207848072,0.509728491306,0.489869266748,1.1389516592,0.526383221149,0.518062591553,0.505087435246
adam,2,0.001,50,256,False,140,same,sigmoid,0.001,0.01,40,52,0.3,"[1, 2]",relu,0.739818871021,0.557848453522,0.5363073349,0.74285119772,0.740379691124,0.550390660763,0.525471687317,0.748052656651
sgd,1,0.001,50,128,True,160,same,sigmoid,0.2,0.3,12,72,0.3,[1],tanh,0.759411692619,0.533350408077,0.524778008461,0.530086576939,0.75933098793,0.542136311531,0.532368481159,0.529442548752
sgd,1,0.0001,50,128,False,130,same,sigmoid,0.3,0.01,4,32,0.3,[1],tanh,2.53649568558,0.50338113308,0.495451778173,0.467512875795,2.53533530235,0.509861707687,0.508386015892,0.475565880537
sgd,1,0.001,50,128,True,230,same,sigmoid,0.0001,0.3,34,22,0,[1],sigmoid,0.793091237545,0.508222341537,0.0,0.0,0.793483972549,0.499871969223,0.0,0.0
sgd,2,0.01,50,64,False,200,same,sigmoid,0.2,0.3,44,16,0.1,"[1, 2]",relu,1.66521668434,0.57063215971,0.53980499506,0.855737686157,1.66462743282,0.561219274998,0.532266020775,0.844904363155
sgd,1,0.001,50,64,True,210,same,sigmoid,0.01,0.2,30,38,0,[1],tanh,0.852916955948,0.532451927662,0.519028484821,0.664880335331,0.85166400671,0.537781774998,0.522249221802,0.674327492714
sgd,1,0.1,50,64,True,100,same,sigmoid,0.001,0.001,24,78,0.001,[1],tanh,0.680436491966,0.567282140255,0.541419386864,0.782979607582,0.679144799709,0.567366838455,0.539952874184,0.780308961868
sgd,4,0.1,50,256,False,190,same,sigmoid,0.01,0.1,78,14,0.01,"[1, 4, 8, 8]",tanh,4.34437704086,0.508968949318,0.0,0.0,4.34430265427,0.509895861149,0.0,0.0
sgd,2,0.01,50,128,False,160,same,sigmoid,0.3,0.01,74,52,0.001,"[1, 1]",relu,0.754686176777,0.549769461155,0.522676587105,0.965387821198,0.753634691238,0.548539996147,0.520859837532,0.964136123657
sgd,2,0.0001,50,128,False,110,same,sigmoid,0.01,0.2,88,54,0.3,"[1, 4]",sigmoid,0.769343912601,0.508785843849,0.0,0.0,0.769343912601,0.508196771145,0.0,0.0
sgd,2,0.1,50,256,True,200,same,sigmoid,0.3,0.2,46,38,0.001,"[1, 0.5]",relu,142.061050415,0.56591796875,0.533548116684,0.94206982851,142.060470581,0.567447960377,0.531988084316,0.949066698551
rmsprop,4,0.01,50,128,False,210,same,sigmoid,0.2,0.01,48,42,0,"[1, 4, 8, 8]",sigmoid,2.33585762978,0.508376002312,0.0,0.0,2.33574008942,0.511014401913,0.0,0.0
sgd,3,0.0001,50,64,True,250,same,sigmoid,0.1,0.0001,14,52,0.1,"[1, 1, 1]",relu,11.6213178635,0.504040539265,0.497663766146,0.913932085037,11.6211290359,0.508580982685,0.498938411474,0.922291994095
sgd,2,0.01,50,128,False,140,same,sigmoid,0.001,0.3,60,46,0.01,"[1, 0.5]",relu,118.611885071,0.543186485767,0.532915472984,0.571629583836,118.612579346,0.549564599991,0.536330461502,0.578354299068
sgd,4,0.01,50,128,False,120,same,sigmoid,0.3,0.1,86,58,0.2,"[1, 0.5, 0.25, 0.25]",relu,379.403625488,0.523539960384,0.531693577766,0.255759388208,379.404022217,0.525999009609,0.53637355566,0.257627129555
rmsprop,1,0.1,50,64,True,120,same,sigmoid,0.3,0.001,12,60,0.3,[1],tanh,0.706531643867,0.508592486382,0.0,0.0,0.709803462029,0.499615818262,0.0,0.0
rmsprop,1,0.001,50,64,False,110,same,sigmoid,0.0001,0.001,92,52,0.2,[1],tanh,0.716310858727,0.545340657234,0.523124933243,0.846386015415,0.715799033642,0.550973415375,0.532126247883,0.85001283884
sgd,5,0.1,50,256,True,270,same,sigmoid,0.001,0.001,14,40,0,"[1, 0.5, 0.25, 0.25, 0.5]",relu,0.798677384853,0.561960339546,0.530883669853,0.933162510395,0.799217164516,0.555729210377,0.525222122669,0.930878043175
sgd,5,0.1,50,64,False,290,same,sigmoid,0.001,0.3,78,66,0.001,"[1, 1, 1, 1, 1]",relu,5399.47705078,0.508694767952,1.0,0.000936037453357,5399.46386719,0.500256180763,1.0,0.00179073936306
rmsprop,1,0.001,50,256,False,150,same,sigmoid,0.0001,0.001,86,24,0.1,[1],sigmoid,0.697275400162,0.50927734375,0.0,0.0,0.698719978333,0.498567730188,0.0,0.0
adam,4,0.0001,50,64,False,280,same,sigmoid,0.001,0.1,18,40,0.1,"[1, 2, 4, 4]",relu,0.704934239388,0.508311152458,0.0,0.0,0.705155909061,0.502049207687,0.0,0.0
