use_layerwise_dropout_batchnorm,padding,output_layer_activation,optimizer,num_layers,num_filters,learning_rate,l2_r,l1_r,growth_sequence,first_dense_units,filter_size,epochs,dropout_rate,dense_activation,cnn_activation,batch_size,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall,confusion_matrix
False,same,sigmoid,sgd,1,68,0.005,0.001,0.0001,[1],256,56,50,0.0,tanh,tanh,128,0.142209410667,0.978777289391,0.978396236897,0.979158580303,0.543091773987,0.779947936535,0.79393517971,0.753433644772,"[[2402  683]
 [ 820 2239]]"
False,same,sigmoid,sgd,1,76,0.005,0.01,0.01,[1],250,50,50,0.001,tanh,relu,256,0.417860120535,0.8583740592,0.845845460892,0.876300752163,0.524397611618,0.803385436535,0.795403778553,0.814645349979,"[[2359  726]
 [ 661 2398]]"
True,same,sigmoid,sgd,3,74,0.0025,0.0001,0.001,"[1, 2, 4]",262,58,50,0.01,tanh,relu,128,,,,,,,,,
False,same,sigmoid,sgd,2,88,0.005,0.01,0.01,"[1, 2]",290,60,50,0.0,tanh,relu,64,,,,,,,,,
False,same,sigmoid,sgd,3,66,0.0001,0.01,0.1,"[1, 2, 4]",254,68,50,0.1,tanh,relu,256,172.881286621,0.606759250164,0.583548605442,0.741634607315,172.883010864,0.606415688992,0.584551155567,0.730550289154,"[[2017 2215]
 [1165 3051]]"
False,same,sigmoid,sgd,1,88,0.01,0.1,0.001,[1],288,46,50,0.1,tanh,relu,128,0.415803462267,0.855373084545,0.846122503281,0.868181705475,0.500699281693,0.812150239944,0.809656441212,0.815143764019,"[[3322  975]
 [ 954 3325]]"
False,same,sigmoid,sgd,1,70,0.005,0.1,0.01,[1],288,52,50,0.001,tanh,tanh,256,1.53666603565,0.742553770542,0.715426504612,0.804261207581,1.56141269207,0.714015126228,0.691001713276,0.772296011448,"[[2663 1569]
 [1077 3139]]"
False,same,sigmoid,sgd,1,78,0.0001,0.001,0.001,[1],278,44,50,0.001,tanh,tanh,256,0.771880567074,0.755981504917,0.743552207947,0.78040510416,0.807464957237,0.724786937237,0.71454501152,0.746916472912,"[[2838 1394]
 [1213 3003]]"
False,same,sigmoid,sgd,1,84,0.0001,0.001,0.001,[1],274,66,50,0.3,relu,relu,64,0.688851714134,0.822685599327,0.821021914482,0.824312567711,1.01689839363,0.774720191956,0.777541339397,0.768457949162,"[[3178 1119]
 [1177 3102]]"
True,same,sigmoid,sgd,2,88,0.005,0.001,0.001,"[1, 2]",260,42,50,0.3,tanh,relu,48,0.578888654709,0.819154858589,0.798676133156,0.852612555027,0.612152278423,0.801675975323,0.78527200222,0.828898251057,"[[3181 1125]
 [ 870 3416]]"
False,same,sigmoid,sgd,1,84,0.005,0.01,0.01,[1],290,60,50,0.001,tanh,tanh,48,0.469605743885,0.853732287884,0.855831921101,0.85029232502,0.572068214417,0.791433930397,0.804502010345,0.768044829369,"[[3392  914]
 [1096 3190]]"
False,same,sigmoid,sgd,1,80,0.005,0.1,0.01,[1],252,42,50,0.3,relu,tanh,128,,,,,,,,,
