optimizer,num_channels,learning_rate,epochs,batch_size,use_residuals,use_bottleneck,shortcut_activation,reg_shortcut,reg_module,output_activation,num_filters,nr_modules,module_output_activation,module_activation,l2_r,l1_r,kernel_size,bottleneck_size,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
sgd,2,0.001,50,256,True,False,relu,True,True,sigmoid,44,21,relu,sigmoid,0,0.001,90,72,203.4364776611328,0.895447850227356,0.9768510460853577,0.8086761236190796,203.59414672851562,0.8733664751052856,0.9563902020454407,0.7774562239646912
adam,2,0.001,50,256,True,False,relu,True,False,sigmoid,46,24,relu,tanh,0.01,0.1,50,58,16.22783851623535,0.9059820771217346,0.9236903786659241,0.8838865160942078,16.235750198364258,0.9036221504211426,0.9202482104301453,0.8799015879631042
sgd,2,0.0001,50,512,True,True,relu,False,False,sigmoid,20,27,relu,relu,0,0.01,20,48,0.7426792979240417,0.55129075050354,0.8763620257377625,0.11231440305709839,0.6820927262306213,0.5588831305503845,0.873775839805603,0.11834929883480072
adam,2,0.0001,50,128,False,True,relu,False,False,sigmoid,48,1,relu,linear,0,0.001,30,22,0.6172051429748535,0.8481920957565308,0.9271863102912903,0.7535067200660706,0.6205300092697144,0.8582386374473572,0.9297080039978027,0.7693532109260559
adam,2,0.1,50,512,True,True,relu,False,True,sigmoid,58,24,tanh,linear,0.01,0.01,30,50,,,,,,,,
sgd,2,0.001,50,64,True,True,relu,False,False,sigmoid,24,27,linear,tanh,0.0001,0.0001,30,54,0.2629329562187195,0.8996844291687012,0.9423953890800476,0.8500241041183472,0.3070225715637207,0.8897765874862671,0.927879273891449,0.8409156203269958
adam,2,0.1,50,1024,True,True,tanh,True,False,sigmoid,34,12,relu,tanh,0,0.0001,80,28,,,,,,,,
rmsprop,2,0.0001,50,512,True,True,softmax,False,False,sigmoid,34,36,sigmoid,linear,0.01,0.01,20,64,,,,,,,,
adam,2,0.01,50,512,False,False,softmax,False,True,sigmoid,42,21,linear,tanh,0.0001,0.0001,60,74,,,,,,,,
sgd,2,0.001,50,128,True,True,tanh,False,False,sigmoid,34,21,sigmoid,linear,0.01,0.1,40,46,,,,,,,,
adam,2,0.001,50,256,False,True,relu,True,True,sigmoid,28,30,tanh,tanh,0.1,0,90,26,,,,,,,,
adam,2,0.1,50,128,True,True,sigmoid,True,False,sigmoid,26,3,relu,sigmoid,0.0001,0,20,34,,,,,,,,
adam,2,0.01,50,64,False,True,relu,True,True,sigmoid,28,21,softmax,linear,0.01,0,40,48,,,,,,,,
adam,2,0.01,50,512,True,True,sigmoid,False,False,sigmoid,54,39,linear,sigmoid,0.01,0.001,30,64,,,,,,,,
adam,2,0.0001,50,512,False,True,sigmoid,False,True,sigmoid,20,6,softmax,linear,0.01,0.01,30,40,,,,,,,,
rmsprop,2,0.001,50,256,False,False,softmax,False,True,sigmoid,46,6,relu,softmax,0.01,0.0001,20,72,1.2941627502441406,0.5028203725814819,0.0,0.0,1.2941184043884277,0.5091619491577148,0.0,0.0
adam,2,0.01,50,64,True,True,relu,True,True,sigmoid,34,3,tanh,sigmoid,0.1,0.0001,60,58,0.7656798362731934,0.8891878724098206,0.9531906247138977,0.8170939087867737,0.8099533915519714,0.8726668357849121,0.9381706714630127,0.7929743528366089
sgd,2,0.01,50,512,True,False,relu,True,False,sigmoid,32,9,sigmoid,softmax,0.0001,0.0001,70,30,2.1422293186187744,0.586277186870575,0.9349472522735596,0.1794009506702423,2.1396424770355225,0.5907841324806213,0.9345146417617798,0.17877671122550964
adam,2,0.01,50,256,False,True,tanh,False,True,sigmoid,54,9,relu,linear,0.1,0.001,50,62,nan,nan,nan,nan,nan,nan,nan,nan
