optimizer,num_channels,learning_rate,epochs,batch_size,use_residuals,use_bottleneck,shortcut_activation,reg_shortcut,reg_module,output_activation,num_filters,nr_modules,module_output_activation,module_activation,l2_r,l1_r,kernel_size,bottleneck_size,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
adam,3,0.0005,100,1024,True,False,softmax,True,False,sigmoid,38,9,tanh,softmax,0.1,0.001,20,32,0.6900883316993713,0.6624904870986938,0.6624904870986938,1.0,0.6942047476768494,0.65478515625,0.65478515625,1.0
rmsprop,3,0.0005,100,512,True,True,tanh,False,False,sigmoid,30,3,softmax,sigmoid,0.0001,0,50,26,0.858674943447113,0.0,0.33793768286705017,0.0,0.853790283203125,0.0,0.34521484375,0.0
sgd,3,0.0005,100,128,True,True,softmax,False,False,sigmoid,32,12,sigmoid,sigmoid,0.1,0.1,40,36,0.640380859375,0.6625564694404602,0.6625564694404602,1.0,0.6453006863594055,0.6540009379386902,0.6540009379386902,1.0
rmsprop,3,0.01,100,512,False,False,relu,False,True,sigmoid,38,6,relu,linear,0.001,0,50,34,1.401323676109314,0.6621799468994141,0.6621799468994141,1.0,1.407492995262146,0.65478515625,0.65478515625,1.0
sgd,3,0.1,100,1024,True,True,softmax,True,False,sigmoid,28,6,tanh,softmax,0.001,0.1,20,26,330.7040100097656,0.6631574034690857,0.6631574034690857,1.0,330.7074890136719,0.65478515625,0.65478515625,1.0
rmsprop,3,0.1,100,1024,True,True,tanh,True,False,sigmoid,28,6,relu,softmax,0,0.001,20,30,24.706186294555664,0.6622523069381714,0.6622523069381714,1.0,24.71436309814453,0.65478515625,0.65478515625,1.0
adam,3,0.0005,100,512,False,False,sigmoid,True,False,sigmoid,34,3,softmax,tanh,0.1,0,50,30,0.6504141688346863,0.6628859043121338,0.6628859043121338,1.0,0.653411865234375,0.65478515625,0.65478515625,1.0
adam,3,0.1,100,512,True,True,softmax,False,True,sigmoid,26,3,linear,softmax,0.1,0.1,40,26,232.0715789794922,0.6625329256057739,0.6625329256057739,1.0,232.0890350341797,0.65478515625,0.65478515625,1.0
rmsprop,3,0.0005,100,256,True,False,tanh,False,True,sigmoid,32,6,sigmoid,relu,0.0001,0.0001,20,26,0.9317044019699097,0.6628605127334595,0.6626741290092468,0.9994674921035767,0.9371506571769714,0.6537550091743469,0.6532907485961914,0.9989140033721924
adam,3,0.1,100,256,False,True,sigmoid,False,False,sigmoid,28,6,tanh,linear,0,0.001,40,30,nan,nan,nan,nan,nan,nan,nan,nan
