optimizer,num_layers,learning_rate,epochs,batch_size,use_layerwise_dropout_batchnorm,start_neurons,padding,output_layer_activation,l2_r,l1_r,kernel_size,filters,dropout_rate,decay_sequence,activation,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
sgd,4,0.0001,50,512,True,20,same,sigmoid,0.1,0.1,15,25,0.3,"[1, 0.5, 0.25, 0.25]",tanh,inf,0.5185546875,0.5048249363899231,0.9563542604446411,inf,0.521240234375,0.5058389902114868,0.9576130509376526
rmsprop,4,0.0001,50,64,True,35,same,sigmoid,0.3,0.2,15,19,0.4,"[1, 4, 8, 8]",tanh,13.054637908935547,0.5092184543609619,0.4285714328289032,9.766261064214632e-05,13.054911613464355,0.5091345906257629,0.0,0.0
adam,5,0.01,50,1024,False,25,same,sigmoid,0.2,0.001,3,19,0.4,"[1, 4, 8, 8, 4]",tanh,3.676511287689209,0.5095254778862,0.0,0.0,3.677172899246216,0.5104166865348816,0.0,0.0
sgd,6,0.001,50,64,False,30,same,sigmoid,0.1,0.2,21,21,0,"[1, 4, 8, 8, 4, 1]",tanh,11.029424667358398,0.5092983245849609,0.0,0.0,11.029487609863281,0.5092147588729858,0.0,0.0
sgd,3,0.001,50,64,True,20,same,sigmoid,0.3,0.2,33,15,0.5,"[1, 0.5, 0.25]",tanh,13.169294357299805,0.5093302726745605,0.0,0.0,13.169313430786133,0.5092147588729858,0.0,0.0
rmsprop,6,0.01,50,64,False,25,same,sigmoid,0.2,0.3,15,19,0.1,"[1, 4, 8, 8, 4, 1]",tanh,3.2258827686309814,0.5092024803161621,0.0,0.0,3.225896120071411,0.5092147588729858,0.0,0.0
sgd,3,0.01,50,128,True,35,same,sigmoid,0.01,0.3,15,19,0.2,"[1, 0.5, 0.25]",tanh,25.054763793945312,0.5093302726745605,0.0,0.0,25.054433822631836,0.5096649527549744,0.0,0.0
sgd,4,0.01,50,512,False,30,same,sigmoid,0.3,0.3,15,15,0.001,"[1, 0.5, 0.25, 0.25]",tanh,70.59779357910156,0.5089171528816223,0.0,0.0,70.59827423095703,0.5104166865348816,0.0,0.0
sgd,2,0.01,50,128,False,25,same,sigmoid,0.3,0.0001,7,11,0,"[1, 2]",tanh,0.7563758492469788,0.5092983245849609,0.0,0.0,0.7563513517379761,0.5096649527549744,0.0,0.0
sgd,5,0.01,50,256,False,30,same,sigmoid,0.01,0.3,33,23,0,"[1, 2, 4, 4, 2]",tanh,2.8103601932525635,0.5089972019195557,0.0,0.0,2.810389757156372,0.5104166865348816,0.0,0.0
sgd,6,0.01,50,1024,False,30,same,sigmoid,0.001,0.001,33,23,0.1,"[1, 2, 4, 4, 2, 1]",tanh,inf,0.5089972019195557,1.0,3.260408993810415e-05,inf,0.5104166865348816,0.0,0.0
adam,6,0.001,50,512,False,20,same,sigmoid,0.1,0.2,3,13,0.01,"[1, 2, 4, 4, 2, 1]",tanh,inf,0.5089972019195557,0.0,0.0,37.67768859863281,0.5104166865348816,0.0,0.0
rmsprop,5,0.1,50,512,True,25,same,sigmoid,0.01,0.0001,33,27,0,"[1, 1, 1, 1, 1]",tanh,inf,0.5085489153862,0.0,0.0,inf,0.5104166865348816,0.0,0.0
sgd,6,0.1,50,512,True,20,same,sigmoid,0.2,0.001,41,19,0.5,"[1, 1, 1, 1, 1, 1]",tanh,5.43226957321167,0.5092052817344666,0.0,0.0,5.432193279266357,0.5104166865348816,0.0,0.0
sgd,4,0.01,50,1024,True,35,same,sigmoid,0.3,0.2,15,11,0.2,"[1, 0.5, 0.25, 0.25]",tanh,,,,,,,,
rmsprop,4,0.001,50,512,False,25,same,sigmoid,0.2,0.3,41,11,0.1,"[1, 0.5, 0.25, 0.25]",tanh,,,,,,,,
