batch_size,cnn_activation,dense_activation,dropout_T_bn_F,dropout_rate,epochs,filter_size,first_dense_units,growth_sequence,l1_r,l2_r,learning_rate,num_filters,num_layers,optimizer,output_layer_activation,padding,second_dense_units,use_layerwise_dropout_batchnorm,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,confusion_matrix
256,relu,relu,True,0.001,50,74,254,"[1, 4, 8]",0.0,0.001,0.0001,82,3,adam,sigmoid,same,234,True,0.250542730093,0.8892578125,0.893764,0.882822,0.888259,0.309245020151,0.8671875,0.336237,0.759843,0.466184,"[[2693  381]
 [  61  193]]"
256,relu,relu,True,0.001,50,68,254,"[1, 4, 8]",0.0,0.001,0.0001,78,3,adam,sigmoid,same,234,True,0.26156014204,0.899389648438,0.894068,0.905494,0.899745,0.329676955938,0.852463942308,0.314554,0.791339,0.450168,"[[2636  438]
 [  53  201]]"
256,relu,relu,True,0.001,50,70,254,"[1, 4, 8]",0.0,0.001,0.0001,78,3,adam,sigmoid,same,234,True,0.240149602294,0.914453125,0.9167,0.911223,0.913953,0.294997036457,0.828725961538,0.225694,0.511811,0.313253,"[[2628  446]
 [ 124  130]]"
256,relu,relu,True,0.001,50,72,254,"[1, 4, 8]",0.0,0.001,0.0001,78,3,adam,sigmoid,same,234,True,0.247248798609,0.895776367187,0.896159,0.894623,0.895391,0.310993671417,0.805588942308,0.173045,0.409449,0.243275,"[[2577  497]
 [ 150  104]]"
256,relu,relu,True,0.001,50,74,254,"[1, 4, 8, 8, 8]",0.0,0.001,0.0001,78,5,adam,sigmoid,same,234,True,0.277820676565,0.887622070312,0.902663,0.86823,0.885112,0.293728739023,0.837439903846,0.233766,0.496063,0.317781,"[[2661  413]
 [ 128  126]]"
256,relu,relu,True,0.001,50,74,254,"[1, 4, 8, 8]",0.0,0.001,0.0001,78,4,adam,sigmoid,same,234,True,0.277946323156,0.903930664062,0.911537,0.894085,0.902727,0.312111198902,0.815504807692,0.189655,0.433071,0.263789,"[[2604  470]
 [ 144  110]]"
256,relu,relu,True,0.001,50,74,254,"[1, 4, 8]",0.0,0.001,0.001,78,3,adam,sigmoid,same,234,True,0.142593339086,0.955834960937,0.967687,0.942905,0.955135,0.331275433302,0.895733173077,0.412758,0.866142,0.559085,"[[2761  313]
 [  34  220]]"
256,relu,relu,True,0.001,50,74,254,"[1, 4, 8]",0.0,0.001,1e-05,78,3,adam,sigmoid,same,234,True,0.30727031827,0.891943359375,0.916606,0.861669,0.888289,0.323557019234,0.866286057692,0.332162,0.744094,0.459295,"[[2694  380]
 [  65  189]]"
512,relu,relu,True,0.001,50,74,254,"[1, 4, 8]",0.0,0.001,0.0001,78,3,adam,sigmoid,same,234,True,0.233667254448,0.918139648437,0.934746,0.898541,0.916286,0.284848868847,0.889973958333,0.387879,0.845815,0.531856,"[[2542  303]
 [  35  192]]"
256,relu,relu,True,0.001,50,74,254,"[1, 4, 8]",0.0,0.001,0.0001,78,3,sgd,sigmoid,same,234,True,,,,,,,,,,,
256,relu,relu,True,0.001,50,74,254,"[1, 2, 4]",0.0,0.001,0.001,78,3,adam,sigmoid,same,234,True,,,,,,,,,,,
256,relu,relu,True,0.001,50,74,254,"[1, 2, 4]",0.0,0.001,0.001,78,3,adam,sigmoid,same,234,True,,,,,,,,,,,
256,relu,relu,True,0.001,50,74,254,"[1, 2, 4]",0.0,0.001,0.001,78,3,adam,sigmoid,same,234,True,,,,,,,,,,,
