use_layerwise_dropout_batchnorm,units,output_layer_activation,optimizer,num_layers,learning_rate,l2_r,l1_r,growth_sequence,epochs,dropout_rate,dropout_T_bn_F,batch_size,activation,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,confusion_matrix
False,410,sigmoid,adam,3,0.001,0.001,0.0001,"[1, 4, 8]",50,0.1,False,64,sigmoid,inf,0.49284151446,0.492842,1.0,0.660273,inf,0.516398514851,0.516399,1.0,0.681085,"[[   0 3126]
 [   0 3338]]"
True,230,sigmoid,rmsprop,1,0.01,0.1,0.0001,[1],50,0.2,True,128,relu,inf,0.49297351372,0.492995,0.999662,0.660337,13.1148824692,0.51578125,0.51571,0.999697,0.680417,"[[   2 3098]
 [   1 3299]]"
False,120,sigmoid,sgd,1,0.01,0.1,0.3,[1],50,0.2,False,256,tanh,974.958984375,0.507455221037,0.833333,0.001208,0.002412,974.956542969,0.4846875,0.75,0.000909,0.001816,"[[3099    1]
 [3297    3]]"
False,400,sigmoid,adam,3,0.1,0.0,0.001,"[1, 1, 1]",50,0.2,False,256,sigmoid,72.604850769,0.493021150915,0.493021,1.0,0.660434,72.602104187,0.515625,0.515625,1.0,0.680412,"[[   0 3100]
 [   0 3300]]"
True,200,sigmoid,adam,5,0.01,0.0001,0.001,"[1, 2, 4, 6, 8]",50,0.001,True,128,sigmoid,9.31588172913,0.493021150915,0.493021,1.0,0.660434,9.31328201294,0.515625,0.515625,1.0,0.680412,"[[   0 3100]
 [   0 3300]]"
False,220,sigmoid,adam,5,0.0001,0.2,0.0,"[1, 4, 4, 4, 4]",50,0.001,False,128,softmax,0.695170879364,0.506978849085,0.0,0.0,0.0,0.695736765862,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
True,370,sigmoid,adam,2,0.001,0.3,0.0001,"[1, 4]",50,0.1,True,64,softmax,0.786007523537,0.50715848554,0.0,0.0,0.0,0.786489665508,0.483601485149,0.0,0.0,0.0,"[[3126    0]
 [3338    0]]"
False,490,sigmoid,adam,2,0.01,0.0,0.0,"[1, 2]",50,0.01,True,128,tanh,0.241437479854,0.841296684451,0.853908,0.818059,0.835599,0.571681559086,0.68041881544,0.703404,0.657576,0.679718,"[[2184  915]
 [1130 2170]]"
True,330,sigmoid,rmsprop,5,0.01,0.0001,0.1,"[1, 2, 4, 4, 2]",50,0.3,True,256,sigmoid,2429.71875,0.493021150915,0.493021,1.0,0.660434,2429.71777344,0.515625,0.515625,1.0,0.680412,"[[   0 3100]
 [   0 3300]]"
False,140,sigmoid,sgd,5,0.0001,0.0,0.2,"[1, 1, 1, 1, 1]",50,0.01,True,128,sigmoid,848.782104492,0.506978849085,0.0,0.0,0.0,848.784729004,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,430,sigmoid,sgd,5,0.1,0.001,0.3,"[1, 2, 4, 4, 2]",50,0.01,False,64,sigmoid,52032.4023438,0.492907463823,0.492907,1.0,0.660332,52032.6640625,0.516398514851,0.516399,1.0,0.681085,"[[   0 3126]
 [   0 3338]]"
False,440,sigmoid,rmsprop,3,0.001,0.1,0.01,"[1, 4, 4]",50,0.0,False,64,relu,30.3343772888,0.50715848554,0.0,0.0,0.0,30.2354507446,0.483601485149,0.0,0.0,0.0,"[[3126    0]
 [3338    0]]"
False,400,sigmoid,adam,5,0.0001,0.3,0.0,"[1, 1, 1, 1, 1]",50,0.3,True,128,sigmoid,124.160583496,0.506978849085,0.0,0.0,0.0,124.161560059,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
True,470,sigmoid,rmsprop,1,0.01,0.3,0.01,[1],50,0.2,True,64,relu,inf,0.490313214014,0.49157,0.992564,0.657508,487.078186035,0.515625,0.516069,0.995806,0.679824,"[[   9 3117]
 [  14 3324]]"
False,110,sigmoid,sgd,3,0.001,0.0,0.01,"[1, 2, 2]",50,0.0,False,128,sigmoid,44.2030525208,0.507103356217,1.0,4.8e-05,9.7e-05,44.2036857605,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,490,sigmoid,sgd,1,0.01,0.1,0.0,[1],50,0.2,False,64,relu,inf,0.527587519026,0.761731,0.060319,0.111787,inf,0.493966584158,0.691429,0.036249,0.068887,"[[3072   54]
 [3217  121]]"
False,100,sigmoid,rmsprop,2,0.0001,0.0,0.1,"[1, 4]",50,0.01,True,128,relu,,,,,,,,,,,
