meier_load,use_layerwise_dropout_batchnorm,units,output_layer_activation,optimizer,num_layers,learning_rate,l2_r,l1_r,growth_sequence,epochs,dropout_rate,dropout_T_bn_F,batch_size,activation,train_loss,train_accuracy,train_precision,train_recall,train_f3,val_loss,val_accuracy,val_precision,val_recall,val_f3,confusion_matrix
False,True,360,sigmoid,sgd,1,0.01,0.001,0.0001,[1],50,0,True,128,softmax,5.60306453705,0.507031845919,0.0,0.0,0.0,5.60372543335,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,True,370,sigmoid,sgd,2,0.01,0.1,0.3,"[1, 1]",50,0,True,64,relu,inf,0.507182267884,1.0,4.8e-05,5.4e-05,3064.64331055,0.483601485149,0.0,0.0,0.0,"[[3126    0]
 [3338    0]]"
False,True,480,sigmoid,sgd,3,0.1,0.2,0.001,"[1, 4, 8]",50,0.2,False,64,tanh,0.908175528049,0.49284151446,0.492842,1.0,0.906696,0.907310903072,0.516398514851,0.516399,1.0,0.91437,"[[   0 3126]
 [   0 3338]]"
False,True,460,sigmoid,sgd,2,0.01,0.0,0.0001,"[1, 2]",50,0.01,True,128,relu,inf,0.516029916159,0.69,0.033335,0.036841,6.26950120926,0.49203125,0.696,0.026364,0.02917,"[[3062   38]
 [3213   87]]"
False,True,370,sigmoid,sgd,5,0.0001,0.1,0.2,"[1, 4, 4, 4, 4]",50,0.01,True,128,relu,inf,0.507002667683,0.666667,9.7e-05,0.000107,17613.0683594,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,True,380,sigmoid,sgd,1,0.01,0.2,0.001,[1],50,0.3,False,64,tanh,26.4516239166,0.521356544901,0.523775,0.317329,0.330349,26.4537887573,0.511757425743,0.547945,0.311564,0.325611,"[[2268  858]
 [2298 1040]]"
False,True,220,sigmoid,rmsprop,1,0.001,0.3,0.2,[1],50,0.001,True,64,relu,397.161804199,0.50715848554,0.5,9.7e-05,0.000107,396.9793396,0.483601485149,0.0,0.0,0.0,"[[3126    0]
 [3338    0]]"
False,False,600,sigmoid,adam,3,0.01,0.1,0.3,"[1, 4, 8]",50,0.3,False,256,tanh,9723.18066406,0.493021150915,0.493021,1.0,0.906757,9723.16503906,0.515625,0.515625,1.0,0.914127,"[[   0 3100]
 [   0 3300]]"
False,True,630,sigmoid,sgd,1,0.01,0.1,0.0001,[1],50,0,False,128,relu,inf,0.553734756098,0.605663,0.271801,0.287657,386.389282227,0.51101734646,0.567589,0.217576,0.231875,"[[2552  547]
 [2582  718]]"
False,True,240,sigmoid,adam,2,0.01,0.0001,0.001,"[1, 2]",50,0.1,False,64,relu,,,,,,,,,,,
