units,output_layer_activation,optimizer,learning_rate,epochs,batch_size,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,confusion_matrix
64,sigmoid,adam,0.001,50,128,9.12049945327e-05,0.883955792683,0.882313,0.882313,0.882313,0.690158963203,0.684638224723,0.688308,0.71,0.698986,"[[2038 1061]
 [ 957 2343]]"
8,sigmoid,adam,0.001,50,128,0.00139721552841,0.999785632622,0.999855,0.99971,0.999783,0.517185866833,0.8565625,0.851742,0.873939,0.862698,"[[2598  502]
 [ 416 2884]]"
128,sigmoid,adam,0.001,50,128,0.000136636546813,0.925423971037,0.924389,0.924344,0.924366,0.733173251152,0.8125,0.811573,0.828788,0.82009,"[[2465  635]
 [ 565 2735]]"
128,sigmoid,adam,0.001,50,128,7.37212685635e-05,0.969440739329,0.969031,0.968984,0.969007,0.821940839291,0.805,0.797737,0.83303,0.815001,"[[2403  697]
 [ 551 2749]]"
64,sigmoid,adam,0.001,50,128,8.53782694321e-05,0.985637385671,0.985458,0.98541,0.985434,0.854945719242,0.83765625,0.827586,0.865455,0.846097,"[[2505  595]
 [ 444 2856]]"
8,sigmoid,adam,0.001,50,128,5.28877353645e-05,0.99423589939,0.994154,0.994154,0.994154,0.794679880142,0.8646875,0.85481,0.888485,0.871322,"[[2602  498]
 [ 368 2932]]"
128,sigmoid,adam,0.001,50,128,0.211063981056,0.894221608232,0.912556,0.868689,0.890082,0.147953182459,0.93390625,0.937633,0.933939,0.935783,"[[2895  205]
 [ 218 3082]]"
8,sigmoid,adam,0.001,50,128,0.236969962716,0.90634527439,0.954957,0.850138,0.899504,0.173748075962,0.93234375,0.960784,0.905758,0.93246,"[[2978  122]
 [ 311 2989]]"
64,sigmoid,adam,0.001,50,128,0.372538238764,0.843059260671,0.891988,0.775593,0.829728,0.339726299047,0.839349898422,0.878667,0.798788,0.836825,"[[2735  364]
 [ 664 2636]]"
128,sigmoid,adam,0.001,50,128,,,,,,,,,,,
