optimizer,num_channels,learning_rate,epochs,batch_size,use_residuals,use_bottleneck,shortcut_activation,reg_shortcut,reg_module,output_activation,num_filters,nr_modules,module_output_activation,module_activation,l2_r,l1_r,kernel_size,bottleneck_size,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
sgd,2,0.0001,50,512,True,False,sigmoid,False,True,sigmoid,36,27,tanh,linear,0.0,0.1,40,40,,,,,,,,
sgd,2,0.01,50,512,True,True,tanh,False,True,sigmoid,34,6,relu,linear,0.001,0.01,30,24,,,,,,,,
rmsprop,2,0.001,50,512,False,True,relu,True,False,sigmoid,48,48,relu,softmax,0.001,0.0,190,76,,,,,,,,
rmsprop,2,0.1,50,64,False,True,relu,False,True,sigmoid,36,3,sigmoid,relu,0.01,0.1,130,58,8283.3837890625,0.5084298253059387,0.0,0.0,8283.3515625,0.510809063911438,0.0,0.0
adam,2,0.01,50,32,False,True,sigmoid,True,True,sigmoid,20,36,sigmoid,linear,0.1,0.0,50,26,0.712303876876831,0.5086427330970764,0.0,0.0,0.7118428945541382,0.51087886095047,0.0,0.0
adam,2,0.01,50,128,True,True,relu,True,True,sigmoid,66,24,relu,relu,0.01,0.0,90,66,1.0731139183044434,0.5307177901268005,0.5122717022895813,0.9333968758583068,1.0735228061676023,0.5135915875434875,0.5015373826026917,0.927805721759796
rmsprop,2,0.01,50,256,True,True,softmax,True,True,sigmoid,38,6,sigmoid,softmax,0.0,0.0,140,22,0.4064994752407074,0.8898352384567261,0.8777815103530884,0.9013075232505798,0.7036811113357544,0.5633680820465088,0.5529032349586487,0.5693091154098511
sgd,2,0.1,50,64,True,True,relu,False,False,sigmoid,36,45,tanh,linear,0.01,0.0001,80,74,0.0502661727368831,0.9825868606567384,0.9855653643608092,0.9789058566093444,2.2995505332946777,0.5745933055877686,0.5690774321556091,0.5370815992355347
adam,2,0.01,50,64,True,True,tanh,True,True,sigmoid,68,48,sigmoid,tanh,0.1,0.01,180,32,574.8743286132812,0.5083659887313843,0.0,0.0,574.873046875,0.510809063911438,0.0,0.0
adam,2,0.01,50,128,False,True,relu,False,True,sigmoid,46,3,linear,linear,0.0,0.01,30,56,9.610039710998535,0.5087278485298157,0.0,0.0,9.60991668701172,0.510809063911438,0.0,0.0
adam,2,0.001,50,128,True,True,tanh,True,True,sigmoid,68,45,tanh,linear,0.1,0.001,110,22,7.260634899139404,0.5086640119552612,0.0,0.0,7.260208606719971,0.510809063911438,0.0,0.0
adam,2,0.1,50,512,True,True,relu,False,True,sigmoid,30,24,softmax,linear,0.001,0.1,70,70,2174.670654296875,0.6323403120040894,0.58066326379776,0.905134379863739,2175.06005859375,0.5305989384651184,0.5137006044387817,0.7887511253356934
adam,2,0.0001,50,64,False,True,softmax,False,True,sigmoid,28,3,relu,relu,0.0001,0.0,130,72,0.0393760129809379,0.9940820932388306,0.996125876903534,0.9918085932731628,2.2772133350372314,0.520440936088562,0.5102179646492004,0.4915773272514343
rmsprop,2,0.01,50,512,True,True,relu,False,False,sigmoid,62,45,tanh,linear,0.001,0.1,50,46,0.6954144239425659,0.5083276033401489,0.0,0.0,0.6951497197151184,0.5099826455116272,0.0,0.0
adam,2,0.01,50,64,True,True,relu,False,False,sigmoid,50,9,relu,linear,0.0001,0.01,60,46,0.1730776280164718,0.9516136050224304,0.9564149975776672,0.9446104764938354,2.55192494392395,0.6217893958091736,0.6210600137710571,0.5819295644760132
sgd,2,0.01,50,32,False,False,tanh,False,True,sigmoid,60,21,relu,softmax,0.001,0.1,160,68,,,,,,,,
adam,2,0.01,50,256,True,True,relu,False,True,sigmoid,66,48,sigmoid,relu,0.0001,0.0001,70,38,,,,,,,,
adam,2,0.01,50,512,True,False,relu,False,False,sigmoid,58,27,softmax,tanh,0.0,0.001,180,62,,,,,,,,
adam,2,0.01,50,512,True,True,relu,False,False,sigmoid,58,18,softmax,tanh,0.0001,0.0001,120,20,,,,,,,,
adam,2,0.01,50,128,False,False,relu,True,True,sigmoid,26,3,relu,relu,0.001,0.1,30,32,,,,,,,,
adam,2,0.01,50,128,True,True,relu,False,True,sigmoid,20,15,softmax,softmax,0.0001,0.1,160,52,,,,,,,,
adam,2,0.01,50,512,True,True,softmax,True,True,sigmoid,68,1,softmax,relu,0.01,0.01,110,44,,,,,,,,
adam,2,0.01,50,128,True,False,relu,False,False,sigmoid,28,9,relu,linear,0.0,0.001,60,72,,,,,,,,
adam,2,0.01,50,512,True,True,softmax,False,True,sigmoid,58,1,relu,softmax,0.001,0.01,90,28,,,,,,,,
sgd,2,0.1,50,256,False,True,relu,True,False,sigmoid,22,1,relu,relu,0.01,0.0001,30,58,,,,,,,,
rmsprop,2,0.01,50,256,True,False,relu,False,True,sigmoid,34,1,tanh,linear,0.01,0.1,70,36,,,,,,,,
rmsprop,2,0.01,50,128,False,True,relu,False,False,sigmoid,38,6,relu,linear,0.001,0.01,30,30,,,,,,,,
sgd,2,0.0001,50,64,False,True,sigmoid,False,True,sigmoid,52,3,linear,sigmoid,0.0001,0.0,60,24,,,,,,,,
sgd,2,0.01,50,32,False,False,sigmoid,False,False,sigmoid,42,6,sigmoid,linear,0.01,0.01,60,38,nan,nan,nan,nan,nan,nan,nan,nan
