optimizer,num_channels,learning_rate,epochs,batch_size,use_residuals,use_bottleneck,shortcut_activation,reg_shortcut,reg_module,output_activation,num_filters,nr_modules,module_output_activation,module_activation,l2_r,l1_r,kernel_size,bottleneck_size,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
adam,3,0.1,100,1024,False,True,sigmoid,True,True,sigmoid,38,1,sigmoid,sigmoid,0.0001,0.001,20,32,4.108710289,0.495409458876,0.495277285576,0.998869299889,4.10490369797,0.497068881989,0.496907562017,0.999181687832
rmsprop,3,0.1,100,256,False,True,sigmoid,True,True,sigmoid,34,1,sigmoid,tanh,0.0001,0.001,30,34,13.9363069534,0.889153599739,0.603420376778,0.227406844497,13.9357261658,0.891397178173,0.604272961617,0.233872264624
sgd,3,0.01,100,512,False,False,sigmoid,True,False,sigmoid,28,6,sigmoid,sigmoid,0.1,0.001,20,36,0.692958414555,0.495680898428,0.495680898428,1.0,0.692911803722,0.497233062983,0.497233062983,1.0
adam,3,0.0005,100,1024,True,False,relu,True,False,sigmoid,24,6,sigmoid,sigmoid,0.0001,0.0,40,28,0.720170736313,0.495199561119,0.49492508173,0.996542930603,0.721425950527,0.496573120356,0.495930999517,0.996071994305
adam,3,0.0005,100,256,False,True,tanh,True,True,sigmoid,40,12,relu,softmax,0.1,0.001,40,36,0.764137268066,0.0,0.504287362099,0.0,0.764188408852,0.0,0.501993000507,0.0
rmsprop,3,0.1,100,512,False,True,softmax,True,True,sigmoid,32,6,tanh,relu,0.0,0.001,50,34,22.6397323608,0.0,0.504271447659,0.0,22.640663147,0.0,0.502766907215,0.0
adam,3,0.1,100,512,False,False,softmax,True,True,sigmoid,30,1,relu,sigmoid,0.0001,0.001,30,28,78.048500061,0.495430916548,0.495140999556,0.998558580875,78.0461730957,0.497272640467,0.497314453125,0.999672651291
sgd,3,0.0005,100,1024,False,True,sigmoid,False,True,sigmoid,26,12,linear,tanh,0.0,0.0,40,28,0.697377681732,0.495277285576,0.495277285576,1.0,0.696980774403,0.497233062983,0.497233062983,1.0
sgd,3,0.0005,100,512,False,True,tanh,True,True,sigmoid,38,1,sigmoid,relu,0.001,0.001,50,30,5.12200593948,0.901550889015,0.523564517498,0.0428594313562,5.12205839157,0.899665534496,0.522216796875,0.0440261848271
sgd,3,0.001,100,512,False,True,tanh,True,True,sigmoid,32,6,sigmoid,softmax,0.001,0.001,20,28,10.0923652649,0.0,0.504080891609,0.0,10.0924034119,0.0,0.502766907215,0.0
rmsprop,3,0.01,100,128,True,True,sigmoid,False,True,sigmoid,26,1,linear,softmax,0.001,0.1,40,30,94.654335022,0.793209850788,0.507638156414,0.00822136923671,94.6541671753,0.815384626389,0.505261480808,0.00848407205194
sgd,3,0.1,100,1024,True,False,tanh,True,False,sigmoid,40,12,sigmoid,relu,0.001,0.0001,50,36,3.23252081871,0.495341330767,0.495341330767,1.0,3.23093032837,0.497233062983,0.497233062983,1.0
adam,3,0.1,100,128,False,True,sigmoid,True,True,sigmoid,42,6,softmax,tanh,0.0,0.001,20,30,12.8387670517,0.495436102152,0.495436102152,1.0,12.8374118805,0.498007029295,0.498007029295,1.0
rmsprop,3,0.01,100,512,False,True,relu,False,True,sigmoid,26,1,softmax,tanh,0.0001,0.1,50,36,106.711280823,0.300000011921,0.504080891609,9.60707111517e-05,106.711242676,0.666666686535,0.50284832716,0.000327332236338
sgd,3,0.01,100,512,True,True,softmax,True,False,sigmoid,24,1,sigmoid,tanh,0.001,0.0001,20,36,0.661180436611,0.82420861721,0.635400772095,0.336141735315,0.660298645496,0.827478528023,0.639322936535,0.346972167492
rmsprop,3,0.001,100,256,True,False,sigmoid,True,True,sigmoid,40,12,linear,sigmoid,0.0,0.1,20,26,491.699462891,0.0,0.504731953144,0.0,491.699584961,0.0,0.501993000507,0.0
