meier_load,use_residuals,use_bottleneck,residual_activation,reg_residual,reg_module,output_layer_activation,optimizer,num_modules,num_filters,module_output_activation,module_activation,learning_rate,l2_r,l1_r,filter_size,epochs,bottleneck_size,batch_size,train_loss,train_accuracy,train_precision,train_recall,train_f2,val_loss,val_accuracy,val_precision,val_recall,val_f2,confusion_matrix
0.0,True,False,relu,False,True,sigmoid,rmsprop,1,48,relu,linear,0.0001,0.0001,0.01,32,50,32,128,0.800675749779,0.485275506231,0.491129,0.890337,0.765837,0.802215754986,0.141225961538,0.071711,0.858268,0.268738,"[[ 252 2822]
 [  36  218]]"
0.0,False,True,relu,False,False,sigmoid,adam,1,64,tanh,linear,0.0001,0.01,0.01,80,50,56,256,0.687838613987,0.573266601562,0.572285,0.570463,0.570827,0.688260316849,0.561598557692,0.087611,0.503937,0.258377,"[[1741 1333]
 [ 126  128]]"
0.0,True,True,tanh,False,False,sigmoid,rmsprop,1,72,relu,linear,0.01,0.01,0.0,32,50,56,64,0.514559209347,0.760538356698,0.734593,0.81386,0.796667,0.585982501507,0.700721153846,0.16934,0.748031,0.444341,"[[2142  932]
 [  64  190]]"
0.0,True,False,relu,False,False,sigmoid,sgd,1,88,relu,linear,0.01,0.0,0.0,48,50,32,128,0.693247199059,0.498685747664,0.498686,1.0,0.832602,0.704601407051,0.0763221153846,0.076322,1.0,0.292357,"[[   0 3074]
 [   0  254]]"
0.0,False,False,relu,False,False,sigmoid,sgd,4,40,relu,linear,0.01,0.0,0.0001,88,50,32,256,0.723025977612,0.501416015625,0.0,0.0,0.0,0.513039112091,0.923677884615,0.0,0.0,0.0,"[[3074    0]
 [ 254    0]]"
0.0,True,True,tanh,True,False,sigmoid,adam,4,40,relu,linear,0.0001,0.0001,0.0001,32,50,32,64,0.245362386107,0.904984423676,0.917363,0.889605,0.895021,0.32461348176,0.857872596154,0.319008,0.759843,0.595312,"[[2662  412]
 [  61  193]]"
0.0,True,True,relu,True,True,sigmoid,rmsprop,1,48,linear,linear,0.01,0.01,0.0001,64,50,40,128,0.760342776775,0.498418029595,0.49855,0.998536,0.831714,0.761000573635,0.078125,0.07646,1.0,0.292762,"[[   6 3068]
 [   0  254]]"
0.0,False,True,relu,False,False,sigmoid,rmsprop,4,40,relu,linear,0.001,0.1,0.001,88,50,40,128,0.160279169679,0.942270249221,0.930725,0.955344,0.950317,0.362614512444,0.854867788462,0.321928,0.814961,0.62387,"[[2638  436]
 [  47  207]]"
0.0,True,False,tanh,True,True,sigmoid,adam,1,80,tanh,tanh,0.0001,0.0001,0.0,72,50,48,64,0.693360447884,0.476027063863,0.48039,0.621083,0.586717,0.695932030678,0.365384615385,0.072284,0.61811,0.246236,"[[1059 2015]
 [  97  157]]"
0.0,False,True,tanh,False,True,sigmoid,adam,1,56,linear,relu,0.01,0.01,0.01,32,50,40,128,2.38138103485,0.498685747664,0.498686,1.0,0.832602,2.39106249809,0.0763221153846,0.076322,1.0,0.292357,"[[   0 3074]
 [   0  254]]"
0.0,False,True,relu,True,False,sigmoid,adam,1,80,relu,linear,0.001,0.1,0.1,56,50,32,128,0.586545050144,0.703295366044,0.677504,0.772962,0.751778,0.641632199287,0.631009615385,0.135479,0.712598,0.384779,"[[1919 1155]
 [  73  181]]"
0.0,False,False,relu,False,False,sigmoid,adam,1,40,relu,tanh,0.001,0.01,0.0,32,50,56,64,0.580012381077,0.709501557632,0.698395,0.734797,0.727217,0.604901731014,0.671875,0.146115,0.681102,0.393182,"[[2063 1011]
 [  81  173]]"
