batch_size,epochs,learning_rate,optimizer,start_neurons,dropout_rate,filters,kernel_size,padding,l2_r,l1_r,activation,output_layer_activation,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
64,33,0.1,rmsprop,sigmoid,0.1,19,11,0.01,0.001,softmax,same,256,630.729553223,0.51528775692,0.51528775692,0.51528775692,630.717895508,0.523529410362,0.523529410362,0.523529410362
32,33,0.0001,sgd,relu,0.1,27,9,0.2,0.01,softmax,same,512,4.25481653214,0.509903073311,0.509903073311,0.509903073311,4.25926208496,0.514619886875,0.514619886875,0.514619886875
512,30,0.001,sgd,softmax,0.01,21,5,0.1,0.1,softmax,same,16,3.84783005714,0.507957756519,0.507957756519,0.507957756519,3.84803152084,0.500390648842,0.500390648842,0.500390648842
256,30,0.0001,adam,softmax,0.3,23,13,0.2,0.2,softmax,same,32,4.96664476395,0.5081179142,0.5081179142,0.5081179142,4.96702289581,0.499069929123,0.499069929123,0.499069929123
64,35,1e-05,sgd,tanh,0.4,25,15,0.3,0.01,softmax,same,1024,2.21938371658,0.496916741133,0.496916741133,0.496916741133,2.22428941727,0.49650734663,0.49650734663,0.49650734663
1024,30,1e-05,sgd,relu,0.01,23,13,0.0001,0.001,sigmoid,same,128,1.53465461731,0.541373670101,0.527537286282,0.48095703125,1.53811192513,0.5283203125,0.519003629684,0.47207030654
512,30,1e-05,adam,relu,0.1,23,7,0.001,0.001,softmax,same,64,1.03875100613,0.664014101028,0.664014101028,0.664014101028,1.09481656551,0.548242211342,0.548242211342,0.548242211342
256,30,0.001,sgd,relu,0.001,19,13,0.001,0.1,sigmoid,same,32,0.91354829073,0.641782402992,0.63315987587,0.645495772362,0.908385753632,0.550595223904,0.544306099415,0.553013384342
1024,35,0.0001,rmsprop,tanh,0.01,15,3,0.1,0.2,softmax,same,1024,2.27396059036,0.497151702642,0.497151702642,0.497151702642,2.27744865417,0.48964843154,0.48964843154,0.48964843154
16,33,0.01,adam,sigmoid,0.3,13,7,0.01,0.01,softmax,same,16,7.42215061188,0.496582150459,0.496582150459,0.496582150459,7.42191505432,0.50583088398,0.50583088398,0.50583088398
256,33,0.1,rmsprop,softmax,0.4,25,3,0.0001,0.2,sigmoid,same,512,225.639602661,0.486127197742,0.486127197742,0.486127197742,225.641738892,0.483072906733,0.483072906733,0.483072906733
16,35,0.0001,sgd,tanh,0.5,13,11,0.1,0.001,softmax,same,256,2.78774857521,0.496068686247,0.496068686247,0.496068686247,2.78558325768,0.486333817244,0.486333817244,0.486333817244
64,33,0.01,adam,sigmoid,0.2,27,7,0.2,0.2,sigmoid,same,1024,268.707885742,0.50786870718,0.507884740829,0.507884740829,268.709350586,0.497977942228,0.497977942228,0.497977942228
1024,35,0.0001,sgd,softmax,0.01,19,9,0.001,0.001,softmax,same,512,5.91845989227,0.510123670101,0.510123670101,0.510123670101,5.93931674957,0.515429675579,0.515429675579,0.515429675579
128,30,0.1,rmsprop,sigmoid,0.5,27,5,0.1,0.2,sigmoid,same,256,4456.09765625,0.487123847008,0.487123847008,0.487123847008,4456.08349609,0.48009672761,0.48009672761,0.48009672761
16,35,0.01,adam,softmax,0,13,15,0.1,0.3,softmax,same,256,111.456977844,0.50789475441,0.50789475441,0.50789475441,111.457397461,0.496173471212,0.496173471212,0.496173471212
32,35,0.1,adam,sigmoid,0.3,21,3,0.1,0.2,sigmoid,same,64,460.796813965,0.512037754059,0.512037754059,0.512037754059,460.792572021,0.51553362608,0.51553362608,0.51553362608
1024,30,0.1,rmsprop,tanh,0.3,11,9,0.3,0.2,sigmoid,same,1024,9207.80859375,0.507942736149,0.507942736149,0.507942736149,9207.79785156,0.5009765625,0.5009765625,0.5009765625
16,33,1e-05,rmsprop,sigmoid,0.2,23,3,0.2,0.1,sigmoid,same,256,1.23640501499,0.507605910301,0.507686138153,0.507686138153,1.23666954041,0.498906701803,0.498998373747,0.499271124601
64,30,0.0001,adam,tanh,0.1,25,5,0.0001,0.1,sigmoid,same,64,0.72841322422,0.552607893944,0.551469266415,0.548785984516,0.74724149704,0.511948525906,0.511550545692,0.508823513985
128,33,0.1,adam,relu,0.1,23,9,0.0001,0.01,sigmoid,same,64,12100.3740234,0.513760268688,0.518631160259,0.430475175381,7208.37353516,0.515811026096,0.515192449093,0.42578125
128,35,0.01,adam,relu,0.01,19,11,0.01,0.01,sigmoid,same,1024,19.2395534515,0.539014279842,0.538413643837,0.542213201523,19.2499446869,0.525669634342,0.525254368782,0.528087794781
128,33,0.001,adam,softmax,0,21,15,0.01,0.3,sigmoid,same,256,3.02632880211,0.508600175381,0.508441030979,0.508342981339,3.02674436569,0.499069929123,0.498975992203,0.498511910439
