batch_size,epochs,learning_rate,optimizer,activation,dropout_rate,filters,kernel_size,l1_r,l2_r,output_layer_activation,padding,start_neurons,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
64,35,0.001,rmsprop,relu,0,13,13,0.1,0.01,sigmoid,same,256,51.2658081055,0.660876572132,0.660876572132,1.0,51.2655220032,0.661033153534,0.661033153534,1.0
256,35,0.001,sgd,sigmoid,0.01,15,3,0.1,0.0001,sigmoid,same,64,1.99981403351,0.660544097424,0.660544097424,1.0,1.99985611439,0.660481750965,0.660481750965,1.0
128,35,0.01,adam,sigmoid,0.2,17,9,0.0001,0.001,sigmoid,same,128,0.940082073212,0.66134750843,0.661338150501,1.0,0.940989434719,0.660481750965,0.660481750965,1.0
128,35,0.0001,rmsprop,sigmoid,0.4,15,13,0.1,0.1,sigmoid,same,1024,6.64378452301,0.660876572132,0.660876572132,1.0,6.64403104782,0.660481750965,0.660481750965,1.0
64,33,0.1,rmsprop,relu,0,17,11,0.3,0.1,sigmoid,same,16,17065.1914063,0.660931944847,0.661041855812,0.999748587608,17063.53125,0.661033153534,0.661033153534,1.0
256,35,1e-05,rmsprop,sigmoid,0,23,15,0.2,0.1,sigmoid,same,16,16.3640785217,0.660765707493,0.660765707493,1.0,16.3642272949,0.660481750965,0.660481750965,1.0
64,30,0.01,adam,tanh,0.001,17,11,0.1,0.1,sigmoid,same,128,141.840820313,0.661070466042,0.661070466042,1.0,141.8409729,0.661033153534,0.661033153534,1.0
64,30,0.0001,rmsprop,tanh,0.01,13,9,0.2,0.2,sigmoid,same,1024,7.64481782913,0.661098182201,0.661098182201,1.0,7.64483642578,0.661033153534,0.661033153534,1.0
512,30,0.01,adam,sigmoid,0.001,25,13,0.001,0.0001,sigmoid,same,1024,2.80064797401,0.660658478737,0.660658478737,1.0,2.80074572563,0.660481750965,0.660481750965,1.0
256,30,0.0001,rmsprop,relu,0.5,23,3,0.01,0.1,sigmoid,same,128,0.855558931828,0.660765707493,0.660756349564,1.0,0.856656610966,0.660481750965,0.660481750965,1.0
256,30,0.01,rmsprop,sigmoid,0.3,17,11,0.001,0.01,sigmoid,same,256,6.55189085007,0.661015093327,0.661015093327,1.0,6.55222320557,0.660481750965,0.660481750965,1.0
128,33,0.1,adam,softmax,0.3,15,7,0.1,0.0001,sigmoid,same,1024,581.956115723,0.661153614521,0.661153614521,1.0,581.956115723,0.660481750965,0.660481750965,1.0
512,35,0.01,sgd,relu,0.01,25,11,0.0001,0.3,sigmoid,same,64,45.0748100281,0.660267829895,0.660780668259,0.998522281647,36.5410575867,0.658203125,0.659706354141,0.996550023556
128,35,1e-05,adam,softmax,0,17,15,0.0001,0.0001,sigmoid,same,32,0.645303845406,0.661818504333,0.661546587944,1.0,0.650543391705,0.66015625,0.660371243954,0.999507129192
256,35,0.01,adam,relu,0.5,15,3,0.001,0.001,sigmoid,same,1024,3.42940545082,0.660765707493,0.660765707493,1.0,3.40023732185,0.660481750965,0.660481750965,1.0
256,30,1e-05,sgd,softmax,0.001,23,13,0.0001,0.001,sigmoid,same,512,1.53956127167,0.65505874157,0.659068703651,0.990316092968,1.53992652893,0.6513671875,0.657358765602,0.986200094223
512,35,0.001,rmsprop,softmax,0,17,5,0.001,0.001,sigmoid,same,128,0.896012723446,0.660658478737,0.660658478737,1.0,0.896145641804,0.660481750965,0.660481750965,1.0
128,33,0.01,adam,tanh,0.001,21,13,0.01,0.0001,sigmoid,same,128,21.0310077667,0.660959661007,0.660959661007,1.0,21.0313739777,0.660481750965,0.660481750965,1.0
128,30,0.01,sgd,tanh,0.1,21,15,0.001,0.001,sigmoid,same,32,0.968875110149,0.658771038055,0.661529004574,0.990907549858,1.00446629524,0.640950500965,0.654436290264,0.966978788376
64,30,1e-05,sgd,softmax,0.001,21,7,0.0001,0.0001,sigmoid,same,256,1.24144208431,0.347739368677,0.943342804909,0.0139581672847,1.24150002003,0.347257643938,0.933333337307,0.0135069945827
