,batch_size,epochs,learning_rate,optimizer,start_neurons,dropout_rate,filters,kernel_size,padding,l2_r,l1_r,activation,output_layer_activation,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
0,1024,35,0.001,adam,softmax,0.1,13,3,0.3,0.001,sigmoid,same,32,29.2402114868,0.4951171875,0.4951171875,0.4951171875,29.2404708862,0.47900390625,0.47900390625,0.47900390625
1,128,35,0.1,sgd,sigmoid,0,23,7,0.001,0.1,softmax,same,512,2.12041044235,0.490234375,0.490234375,0.490234375,2.12045741081,0.478645831347,0.478645831347,0.478645831347
2,512,30,0.01,rmsprop,tanh,0,25,5,0.1,0.001,sigmoid,same,16,166.248382568,0.4873046875,0.4873046875,0.4873046875,166.248718262,0.4765625,0.4765625,0.4765625
3,16,35,1e-05,sgd,tanh,0.2,25,13,0.1,0.2,sigmoid,same,64,149.133743286,0.602022051811,0.584229409695,0.599264681339,149.166519165,0.567187488079,0.559799015522,0.580208361149
4,512,25,0.01,sgd,relu,0,21,7,0.0001,0.2,softmax,same,64,77.378036499,0.513671875,0.513671875,0.513671875,78.286239624,0.5244140625,0.5244140625,0.5244140625
5,256,35,1e-05,sgd,softmax,0.1,13,13,0.01,0.001,sigmoid,same,128,484.333282471,0.498046875,0.500878751278,0.8349609375,484.333282471,0.47900390625,0.496772289276,0.82666015625
6,128,30,0.01,rmsprop,tanh,0.5,11,11,0.001,0.1,sigmoid,same,64,11.7828474045,0.5537109375,0.5537109375,0.5537109375,11.7781267166,0.567187488079,0.567187488079,0.567187488079
7,64,35,0.001,sgd,softmax,0.2,23,9,0.001,0.001,softmax,same,1024,206.304275513,0.490808814764,0.490808814764,0.490808814764,206.304489136,0.478645831347,0.478645831347,0.478645831347
8,128,25,0.0001,adam,relu,0,13,7,0.01,0.2,softmax,same,64,20.5437889099,0.7265625,0.7265625,0.7265625,20.3846187592,0.711458325386,0.711458325386,0.711458325386
9,512,25,1e-05,sgd,softmax,0.01,13,3,0.3,0.3,sigmoid,same,128,13408.3164063,0.529296875,0.482758611441,0.013671875,13408.3164063,0.51123046875,0.555555582047,0.0244140625
10,16,30,0.0001,rmsprop,sigmoid,0.001,11,13,0.1,0.1,sigmoid,same,128,16.3050994873,0.495404422283,0.495404422283,0.495404422283,16.3053302765,0.478645831347,0.478645831347,0.478645831347
11,16,30,1e-05,sgd,tanh,0.1,13,13,0.0001,0.01,softmax,same,128,18.5344200134,0.564338207245,0.564338207245,0.564338207245,18.5914402008,0.557291686535,0.557291686535,0.557291686535
12,512,30,0.0001,adam,softmax,0,19,13,0.2,0.1,sigmoid,same,512,100.770088196,0.4873046875,0.4873046875,0.4873046875,100.770278931,0.4755859375,0.4755859375,0.4755859375
13,64,25,0.1,rmsprop,sigmoid,0,13,7,0.01,0.001,softmax,same,64,762.116577148,0.509191155434,0.509191155434,0.509191155434,762.107543945,0.520833313465,0.520833313465,0.520833313465
14,16,25,0.1,sgd,tanh,0.4,25,3,0.3,0.1,sigmoid,same,128,14187.0996094,0.534007370472,0.534007370472,0.534007370472,14187.1181641,0.517708361149,0.517708361149,0.517708361149
15,1024,25,0.01,sgd,softmax,0.4,11,5,0.3,0.3,sigmoid,same,128,1401.60668945,0.4951171875,0.4951171875,0.4951171875,1401.60693359,0.47607421875,0.47607421875,0.47607421875
16,256,35,0.0001,adam,softmax,0.1,11,9,0.2,0.0001,softmax,same,32,10.9322280884,0.490234375,0.490234375,0.490234375,10.9323720932,0.48095703125,0.48095703125,0.48095703125
17,512,25,1e-05,adam,softmax,0.01,17,13,0.1,0.3,softmax,same,256,6926.94970703,0.4873046875,0.4873046875,0.4873046875,6926.94970703,0.47705078125,0.47705078125,0.47705078125
18,32,35,0.1,rmsprop,relu,0.01,13,7,0.3,0.3,sigmoid,same,256,104299.8125,0.490808814764,0.490808814764,0.490808814764,102993.367188,0.477604180574,0.477604180574,0.477604180574
19,64,35,0.01,rmsprop,softmax,0.4,21,9,0.001,0.001,softmax,same,512,63.982635498,0.490808814764,0.490808814764,0.490808814764,63.983505249,0.479166656733,0.479166656733,0.479166656733
20,512,30,0.01,sgd,sigmoid,0.4,21,5,0.001,0.0001,sigmoid,same,64,16.0768241882,0.513671875,0.523760318756,0.4951171875,16.0777053833,0.49609375,0.509763598442,0.484375
21,256,35,0.0001,rmsprop,relu,0.001,25,7,0.0001,0.2,sigmoid,same,256,55.9391326904,0.939453125,0.940828382969,0.931640625,56.2948455811,0.7177734375,0.722801804543,0.71044921875
