use_layerwise_dropout_batchnorm,second_dense_units,padding,output_layer_activation,optimizer,num_layers,num_filters,learning_rate,l2_r,l1_r,first_dense_units,filter_size,epochs,dropout_rate,dense_activation,decay_sequence,cnn_activation,batch_size,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall,confusion_matrix
True,120,same,sigmoid,sgd,5,106,0.001,0.01,0.0001,296,33,50,0.1,sigmoid,"[1, 2, 4, 6, 8]",relu,128,2.5828909874,0.504123985767,0.496293216944,0.62123978138,2.58271884918,0.508196771145,0.499484211206,0.631290793419,"[[ 120 3816]
 [  84 3807]]"
False,181,same,sigmoid,sgd,3,50,0.001,0.2,0.0001,235,51,50,0.3,sigmoid,"[1, 2, 4]",tanh,64,7.61169195175,0.508574783802,0.0,0.0,7.61154699326,0.510630130768,0.0,0.0,"[[3936    0]
 [3891    0]]"
True,213,same,sigmoid,sgd,1,126,0.001,0.1,0.2,222,39,50,0.1,softmax,[1],relu,128,0.987062394619,0.508460640907,0.0,0.0,0.987100362778,0.5,0.0,0.0,"[[3936    0]
 [3891    0]]"
False,215,same,sigmoid,sgd,2,70,0.1,0.1,0.1,215,93,50,0.0,sigmoid,"[1, 4]",relu,128,33.6143875122,0.560147643089,0.529206335545,0.948859751225,33.6146430969,0.555455505848,0.52568936348,0.950905799866,"[[ 613 3323]
 [ 142 3749]]"
True,211,same,sigmoid,sgd,4,88,0.01,0.001,0.3,211,120,50,0.0,relu,"[1, 2, 4, 4]",tanh,256,304.58770752,0.508437097073,0.0,0.0,304.587768555,0.512369811535,0.0,0.0,"[[3936    0]
 [3891    0]]"
False,75,same,sigmoid,sgd,5,110,0.0001,0.1,0.3,207,27,50,0.01,tanh,"[1, 2, 4, 6, 8]",tanh,128,1.22550988197,0.508383750916,0.0,0.0,1.22550094128,0.509093284607,0.0,0.0,"[[3936    0]
 [3891    0]]"
False,191,same,sigmoid,rmsprop,2,102,0.001,0.01,0.001,287,66,50,0.001,softmax,"[1, 4]",relu,128,0.717760741711,0.508358120918,0.0,0.0,0.717601358891,0.513063549995,0.0,0.0,"[[3936    0]
 [3891    0]]"
True,106,same,sigmoid,sgd,5,130,0.0001,0.001,0.001,246,138,50,0.001,tanh,"[1, 1, 1, 1, 1]",tanh,256,61.4954795837,0.512398421764,0.502476990223,0.827909231186,61.4933815002,0.516536474228,0.50515294075,0.817796587944,"[[  53 3883]
 [  18 3873]]"
True,185,same,sigmoid,rmsprop,3,100,0.01,0.1,0.1,185,114,50,0.01,relu,"[1, 2, 4]",tanh,64,375.998413086,0.508344471455,0.0,0.0,375.997650146,0.49948772788,0.0,0.0,"[[3936    0]
 [3891    0]]"
True,203,same,sigmoid,sgd,1,146,0.001,0.01,0.01,297,123,50,0.1,relu,[1],relu,64,0.776788532734,0.554366767406,0.532859325409,0.753620922565,0.778476774693,0.553782820702,0.530082821846,0.759156823158,"[[2493 1443]
 [2458 1433]]"
False,90,same,sigmoid,sgd,5,94,0.001,0.3,0.0001,220,66,50,0.01,relu,"[1, 4, 8, 8, 4]",tanh,64,0.907531142235,0.508677184582,0.0,0.0,0.907451033592,0.511782824993,0.0,0.0,"[[3936    0]
 [3891    0]]"
False,142,same,sigmoid,adam,3,66,0.01,0.001,0.1,209,72,50,0.1,tanh,"[1, 2, 4]",tanh,128,34.1589851379,0.508358120918,0.0,0.0,34.1596450806,0.499871969223,0.0,0.0,"[[3936    0]
 [3891    0]]"
