use_layerwise_dropout_batchnorm,second_dense_units,padding,output_layer_activation,optimizer,num_layers,num_filters,learning_rate,l2_r,l1_r,growth_sequence,first_dense_units,filter_size,epochs,dropout_rate,dropout_T_bn_F,dense_activation,cnn_activation,batch_size,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall,confusion_matrix
False,258,same,sigmoid,sgd,1,68,0.01,0.01,0.0,[1],286,52,50,0.1,False,relu,relu,64,0.715380549431,0.53577208519,0.996694207191,0.058241173625,0.717945814133,0.500773489475,0.991150438786,0.0335530266166,"[[3111   15]
 [3240   97]]"
True,150,same,sigmoid,adam,1,76,0.0001,0.0001,0.0,[1],254,52,50,0.01,True,relu,tanh,64,0.0613993704319,0.980450928211,0.994534432888,0.965650320053,0.131435573101,0.958384871483,0.962338030338,0.956860423088,"[[2536  590]
 [ 608 2729]]"
True,168,same,sigmoid,adam,2,70,0.0025,0.01,0.1,"[1, 2]",298,64,50,0.0,True,tanh,tanh,256,19.6305332184,0.492759138346,0.492759138346,0.999999940395,19.6285018921,0.515625,0.515625,1.0,"[[   0 3100]
 [   0 3300]]"
False,202,same,sigmoid,sgd,1,70,0.005,0.01,0.0001,[1],262,52,50,0.2,True,relu,relu,64,0.750547707081,0.743859529495,0.98879390955,0.485777765512,0.750058293343,0.761912107468,0.991798877716,0.543439209461,"[[2896  230]
 [1740 1598]]"
False,214,same,sigmoid,adam,3,72,0.0001,0.001,0.0,"[1, 2, 4]",252,56,50,0.01,False,relu,relu,256,0.095465824008,0.975061893463,0.988612651825,0.96048116684,0.0877643749118,0.979375004768,0.982044994831,0.977878808975,"[[3043   57]
 [  72 3228]]"
True,182,same,sigmoid,sgd,1,62,0.01,0.0,0.001,[1],250,76,50,0.2,True,relu,tanh,128,0.719410479069,0.649699866772,0.990664899349,0.292236328125,0.717808365822,0.645937502384,0.992380917072,0.315757572651,"[[3013   87]
 [2328  972]]"
True,278,same,sigmoid,sgd,3,78,0.01,0.0001,0.01,"[1, 8, 16]",278,54,50,0.1,False,tanh,relu,256,,,,,,,,,
False,214,same,sigmoid,adam,2,72,0.0001,0.01,0.0001,"[1, 2]",252,56,50,0.01,False,relu,relu,256,0.275699675083,0.936856865883,0.961019694805,0.908787846565,0.220100164413,0.962343752384,0.965936720371,0.960968255997,"[[2402  698]
 [ 718 2582]]"
False,214,same,sigmoid,adam,4,72,0.0001,0.01,0.0001,"[1, 2, 4, 8]",252,56,50,0.01,False,relu,relu,256,0.193778634071,0.955173373222,0.975825607777,0.932170629501,0.150704175234,0.970499157906,0.976925551891,0.965782940388,"[[2902  198]
 [ 228 3072]]"
False,214,same,sigmoid,adam,5,72,0.0001,0.01,0.0001,"[1, 2, 4, 8, 16]",252,56,50,0.01,False,relu,relu,256,0.229754805565,0.952743887901,0.976184427738,0.926759719849,0.177591010928,0.97265625,0.980030715466,0.966666698456,"[[3035   65]
 [ 112 3188]]"
False,214,same,sigmoid,adam,3,72,0.001,0.01,0.0001,"[1, 2, 4]",252,56,50,0.01,False,relu,relu,256,0.143791362643,0.962009310722,0.989997923374,0.932370364666,0.110390372574,0.971874952316,0.985074579716,0.959999978542,"[[3052   48]
 [ 130 3170]]"
False,214,same,sigmoid,adam,3,72,1e-05,0.01,0.0001,"[1, 2, 4]",252,56,50,0.01,False,relu,relu,256,1.52005851269,0.919159650803,0.957102835178,0.875259637833,1.4589060545,0.945625007153,0.961827278137,0.931515157223,"[[2643  457]
 [ 562 2738]]"
False,214,same,sigmoid,adam,3,72,0.0001,0.01,0.0001,"[1, 2, 4]",252,56,50,0.01,False,relu,relu,128,,,,,,,,,
