use_layerwise_dropout_batchnorm,padding,output_layer_activation,optimizer,num_layers,num_filters,learning_rate,l2_r,l1_r,growth_sequence,first_dense_units,filter_size,epochs,dropout_rate,dense_activation,cnn_activation,batch_size,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall,confusion_matrix
True,same,sigmoid,sgd,3,68,0.025,0.01,0.001,"[1, 0.75, 0.5, 0.5, 0.75, 1]",286,42,75,0.001,relu,relu,64,,,,,,,,,
True,same,sigmoid,sgd,2,68,0.025,0.01,0.001,"[1, 0.75, 0.5, 0.5, 0.75, 1]",286,42,75,0.001,relu,relu,64,0.0415020138025,0.999269366264,0.99946385622,0.999074280262,0.0373002290726,1.0,1.0,1.0,"[[2642  452]
 [ 427 2647]]"
True,same,sigmoid,sgd,2,68,0.025,0.01,0.001,"[1, 4, 8, 8, 4, 1]",286,42,75,0.001,relu,relu,64,,,,,,,,,
True,same,sigmoid,sgd,2,68,0.025,0.01,0.001,"[1, 1, 1, 1, 1, 1]",286,42,10,0.001,relu,relu,64,,,,,,,,,
True,same,sigmoid,sgd,2,68,0.025,0.01,0.001,"[1, 2, 4, 6, 8, 10]",286,42,10,0.001,relu,relu,64,,,,,,,,,
True,same,sigmoid,sgd,1,68,0.025,0.01,0.001,"[1, 2, 4, 4, 2, 1]",286,42,10,0.001,relu,relu,64,0.198029875755,0.948050379753,0.998698472977,0.897247254848,0.207651138306,0.942545592785,0.998151540756,0.885826766491,"[[2811  283]
 [ 979 2095]]"
True,same,sigmoid,sgd,3,68,0.025,0.01,0.001,"[1, 4, 8, 8, 4, 1]",286,42,10,0.001,relu,relu,64,,,,,,,,,
True,same,sigmoid,sgd,1,68,0.025,0.01,0.001,"[1, 0.75, 0.5, 0.5, 0.75, 1]",286,42,75,0.001,relu,relu,64,0.0552831143141,0.999488592148,0.999123513699,0.999853849411,0.0510953329504,1.0,1.0,1.0,"[[2504  590]
 [ 548 2526]]"
True,same,sigmoid,sgd,1,68,0.025,0.01,0.001,"[1, 2, 4, 4, 2, 1]",286,42,75,0.001,relu,relu,64,,,,,,,,,
True,same,sigmoid,sgd,1,68,0.025,0.01,0.001,"[1, 1, 1, 1, 1, 1]",286,42,75,0.001,relu,relu,64,,,,,,,,,
True,same,sigmoid,sgd,2,68,0.025,0.01,0.001,"[1, 4, 8, 8, 4, 1]",286,42,75,0.001,relu,relu,64,,,,,,,,,
