meier_load,use_layerwise_dropout_batchnorm,units,output_layer_activation,optimizer,num_layers,learning_rate,l2_r,l1_r,growth_sequence,epochs,dropout_rate,dropout_T_bn_F,batch_size,activation,train_loss,train_accuracy,train_precision,train_recall,train_f3,val_loss,val_accuracy,val_precision,val_recall,val_f3,confusion_matrix
False,True,80,sigmoid,adam,2,0.01,0.2,0.01,"[1, 2]",50,0.001,True,256,sigmoid,,,,,,,,,,,
False,True,210,sigmoid,rmsprop,1,0.01,0.0001,0.1,[1],50,0.2,False,128,relu,inf,0.499172507788,0.498927,0.99878,0.907829,587.51361084,0.0775240384615,0.076414,1.0,0.452763,"[[   4 3070]
 [   0  254]]"
False,False,120,sigmoid,rmsprop,2,0.0001,0.2,0.2,"[1, 2]",50,0.3,False,64,relu,118.295288086,0.501314252336,0.0,0.0,0.0,118.293334961,0.923677884615,0.0,0.0,0.0,"[[3074    0]
 [ 254    0]]"
False,True,170,sigmoid,adam,3,0.0001,0.001,0.2,"[1, 4, 4]",50,0.3,False,128,softmax,1203.56225586,0.498685747664,0.498686,1.0,0.908656,1203.56103516,0.0763221153846,0.076322,1.0,0.45244,"[[   0 3074]
 [   0  254]]"
False,False,590,sigmoid,adam,1,0.01,0.3,0.3,[1],50,0.2,False,128,relu,inf,0.498758761682,0.498722,0.999854,0.908559,4213.64697266,0.0766225961538,0.076345,1.0,0.452521,"[[   1 3073]
 [   0  254]]"
False,True,120,sigmoid,adam,4,0.01,0.3,0.0001,"[1, 4, 4, 4]",50,0.1,True,64,relu,0.841347694397,0.498685747664,0.498686,1.0,0.908656,0.842424690723,0.0763221153846,0.076322,1.0,0.45244,"[[   0 3074]
 [   0  254]]"
False,True,550,sigmoid,sgd,2,0.0001,0.3,0.001,"[1, 2]",50,0.001,False,64,relu,inf,0.548724688474,0.694411,0.16979,0.183666,612.918640137,0.869290865385,0.14786,0.149606,0.14943,"[[2855  219]
 [ 216   38]]"
False,False,300,sigmoid,adam,4,0.01,0.1,0.3,"[1, 2, 4, 4]",50,0.01,False,256,sigmoid,3178.42041016,0.498583984375,0.498584,1.0,0.908622,3178.43261719,0.0763221153846,0.076322,1.0,0.45244,"[[   0 3074]
 [   0  254]]"
False,False,660,sigmoid,rmsprop,2,0.0001,0.1,0.2,"[1, 2]",50,0.1,True,64,relu,127.835289001,0.501314252336,0.0,0.0,0.0,127.830253601,0.923677884615,0.0,0.0,0.0,"[[3074    0]
 [ 254    0]]"
False,True,650,sigmoid,sgd,5,0.01,0.0,0.01,"[1, 2, 2, 2, 2]",50,0.001,True,128,tanh,,,,,,,,,,,
