use_layerwise_dropout_batchnorm,units,output_layer_activation,optimizer,num_layers,learning_rate,l2_r,l1_r,growth_sequence,epochs,dropout_rate,dropout_T_bn_F,batch_size,activation,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,confusion_matrix
True,550,sigmoid,sgd,3,0.0001,0.0001,0.2,"[1, 2, 2]",50,0.3,True,128,relu,,,,,,,,,,,
False,150,sigmoid,adam,5,0.01,0.2,0.3,"[1, 2, 4, 6, 8]",50,0.2,True,256,softmax,2098.6875,0.493021150915,0.493021,1.0,0.660434,2098.6875,0.515625,0.515625,1.0,0.680412,"[[   0 3100]
 [   0 3300]]"
True,80,sigmoid,sgd,1,0.01,0.0001,0.2,[1],50,0.3,False,64,relu,144.387390137,0.50715848554,0.0,0.0,0.0,144.387908936,0.483601485149,0.0,0.0,0.0,"[[3126    0]
 [3338    0]]"
False,160,sigmoid,sgd,1,0.001,0.0,0.2,[1],50,0.3,False,128,relu,58.2039337158,0.506978849085,0.0,0.0,0.0,58.204082489,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
True,620,sigmoid,adam,5,0.1,0.01,0.001,"[1, 1, 1, 1, 1]",50,0.2,True,256,sigmoid,,,,,,,,,,,
True,170,sigmoid,adam,4,0.0001,0.01,0.01,"[1, 2, 4, 6]",50,0.3,True,64,softmax,,,,,,,,,,,
False,470,sigmoid,sgd,2,0.0001,0.3,0.01,"[1, 2]",50,0.3,True,128,relu,,,,,,,,,,,
False,110,sigmoid,sgd,4,0.001,0.2,0.001,"[1, 2, 4, 4]",50,0.001,False,128,tanh,,,,,,,,,,,
False,520,sigmoid,adam,2,0.0001,0.01,0.0,"[1, 4]",50,0.3,False,64,relu,,,,,,,,,,,
True,80,sigmoid,sgd,3,0.1,0.0001,0.0,"[1, 2, 4]",50,0.3,True,128,relu,,,,,,,,,,,
False,220,sigmoid,adam,2,0.1,0.3,0.2,"[1, 2]",50,0.0,False,256,relu,,,,,,,,,,,
True,590,sigmoid,adam,1,0.001,0.0001,0.3,[1],50,0.1,False,256,tanh,,,,,,,,,,,
False,380,sigmoid,sgd,2,0.01,0.2,0.2,"[1, 2]",50,0.0,True,256,tanh,,,,,,,,,,,
True,600,sigmoid,sgd,1,0.001,0.0001,0.1,[1],50,0.3,False,64,tanh,,,,,,,,,,,
True,550,sigmoid,sgd,5,0.1,0.01,0.0001,"[1, 2, 2, 2, 2]",50,0.001,True,64,relu,,,,,,,,,,,
True,130,sigmoid,rmsprop,4,0.0001,0.3,0.1,"[1, 4, 4, 4]",50,0.3,False,128,relu,,,,,,,,,,,
False,290,sigmoid,adam,2,0.1,0.1,0.3,"[1, 2]",50,0.3,True,64,sigmoid,,,,,,,,,,,
False,390,sigmoid,sgd,2,0.001,0.01,0.3,"[1, 4]",50,0.1,True,64,softmax,,,,,,,,,,,
False,50,sigmoid,sgd,5,0.01,0.2,0.2,"[1, 2, 2, 2, 2]",50,0.01,False,256,relu,,,,,,,,,,,
False,90,sigmoid,rmsprop,1,0.001,0.01,0.001,[1],50,0.2,False,256,relu,,,,,,,,,,,
False,560,sigmoid,rmsprop,2,0.01,0.001,0.001,"[1, 4]",50,0.2,True,128,softmax,,,,,,,,,,,
False,190,sigmoid,sgd,1,0.0001,0.01,0.3,[1],50,0.0,True,128,relu,,,,,,,,,,,
True,110,sigmoid,sgd,3,0.001,0.001,0.2,"[1, 1, 1]",50,0.01,False,64,sigmoid,,,,,,,,,,,
False,520,sigmoid,sgd,1,0.1,0.1,0.3,[1],50,0.1,False,256,relu,,,,,,,,,,,
False,510,sigmoid,sgd,1,0.001,0.2,0.0001,[1],50,0.01,True,256,relu,,,,,,,,,,,
True,160,sigmoid,sgd,2,0.001,0.001,0.1,"[1, 1]",50,0.001,True,64,softmax,,,,,,,,,,,
True,150,sigmoid,adam,1,0.01,0.001,0.01,[1],50,0.0,True,128,sigmoid,,,,,,,,,,,
True,180,sigmoid,rmsprop,2,0.01,0.0001,0.0,"[1, 2]",50,0.2,True,64,softmax,,,,,,,,,,,
False,670,sigmoid,adam,1,0.01,0.1,0.0001,[1],50,0.01,True,256,relu,,,,,,,,,,,
True,530,sigmoid,adam,5,0.001,0.2,0.0001,"[1, 2, 2, 2, 2]",50,0.2,True,128,sigmoid,,,,,,,,,,,
False,320,sigmoid,sgd,3,0.1,0.001,0.3,"[1, 1, 1]",50,0.001,True,64,relu,,,,,,,,,,,
False,380,sigmoid,sgd,2,0.01,0.1,0.1,"[1, 4]",50,0.2,True,128,relu,,,,,,,,,,,
False,610,sigmoid,sgd,1,0.01,0.01,0.1,[1],50,0.1,True,64,relu,,,,,,,,,,,
True,140,sigmoid,adam,4,0.1,0.0,0.001,"[1, 2, 4, 6]",50,0.3,False,256,tanh,,,,,,,,,,,
True,680,sigmoid,sgd,1,0.01,0.0,0.0001,[1],50,0.001,True,64,softmax,,,,,,,,,,,
