meier_load,use_layerwise_dropout_batchnorm,units,output_layer_activation,optimizer,num_layers,learning_rate,l2_r,l1_r,growth_sequence,epochs,dropout_rate,dropout_T_bn_F,batch_size,activation,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,confusion_matrix
False,True,550,sigmoid,rmsprop,4,0.1,0.0,0.3,"[1, 1, 1, 1]",50,0.3,False,64,relu,inf,0.493761882129,0.493762,1.0,0.661099,112845.898438,0.525390625,0.525391,1.0,0.68886,"[[   0 1215]
 [   0 1345]]"
False,True,520,sigmoid,rmsprop,5,0.01,0.0001,0.0,"[1, 4, 8, 8, 4]",50,0.1,False,128,tanh,inf,0.493857347328,0.493857,1.0,0.661184,inf,0.525390625,0.525391,1.0,0.68886,"[[   0 1215]
 [   0 1345]]"
False,False,630,sigmoid,rmsprop,2,0.01,0.1,0.01,"[1, 2]",50,0.3,True,64,sigmoid,,,,,,,,,,,
False,True,410,sigmoid,rmsprop,1,0.001,0.0001,0.0001,[1],50,0.0,False,256,sigmoid,,,,,,,,,,,
False,False,620,sigmoid,rmsprop,4,0.0001,0.3,0.0,"[1, 4, 4, 4]",50,0.2,True,256,relu,,,,,,,,,,,
False,True,530,sigmoid,adam,2,0.01,0.0,0.0,"[1, 4]",50,0.01,True,256,tanh,,,,,,,,,,,
False,True,690,sigmoid,rmsprop,1,0.1,0.2,0.001,[1],50,0.3,True,128,relu,,,,,,,,,,,
False,False,290,sigmoid,adam,2,0.001,0.1,0.2,"[1, 2]",50,0.3,True,256,tanh,,,,,,,,,,,
False,False,240,sigmoid,adam,1,0.0001,0.0001,0.0001,[1],50,0.0,False,128,tanh,,,,,,,,,,,
False,False,460,sigmoid,sgd,3,0.0001,0.2,0.01,"[1, 4, 4]",50,0.0,True,256,tanh,,,,,,,,,,,
False,False,250,sigmoid,sgd,1,0.01,0.3,0.01,[1],50,0.001,False,256,tanh,,,,,,,,,,,
False,True,430,sigmoid,rmsprop,2,0.001,0.1,0.3,"[1, 2]",50,0.3,True,128,relu,,,,,,,,,,,
False,True,630,sigmoid,rmsprop,5,0.0001,0.01,0.001,"[1, 1, 1, 1, 1]",50,0.3,False,256,relu,,,,,,,,,,,
False,True,280,sigmoid,rmsprop,2,0.01,0.0,0.0,"[1, 4]",50,0.001,True,128,relu,,,,,,,,,,,
False,True,660,sigmoid,rmsprop,4,0.0001,0.0001,0.001,"[1, 4, 8, 8]",50,0.2,True,128,relu,,,,,,,,,,,
False,True,340,sigmoid,rmsprop,4,0.001,0.0001,0.0,"[1, 4, 4, 4]",50,0.001,True,64,softmax,,,,,,,,,,,
False,False,690,sigmoid,rmsprop,1,0.01,0.0001,0.2,[1],50,0.1,True,128,sigmoid,,,,,,,,,,,
False,False,330,sigmoid,rmsprop,2,0.001,0.3,0.001,"[1, 1]",50,0.3,True,64,relu,,,,,,,,,,,
False,False,320,sigmoid,adam,4,0.1,0.01,0.001,"[1, 2, 4, 6]",50,0.001,False,128,relu,,,,,,,,,,,
False,False,260,sigmoid,rmsprop,4,0.1,0.01,0.001,"[1, 2, 4, 6]",50,0.2,False,256,sigmoid,,,,,,,,,,,
False,True,420,sigmoid,sgd,3,0.1,0.01,0.0001,"[1, 4, 4]",50,0.3,False,64,tanh,,,,,,,,,,,
False,True,460,sigmoid,sgd,4,0.1,0.3,0.01,"[1, 2, 2, 2]",50,0.3,False,128,relu,,,,,,,,,,,
False,False,80,sigmoid,rmsprop,2,0.01,0.0001,0.2,"[1, 2]",50,0.001,True,64,tanh,,,,,,,,,,,
False,False,400,sigmoid,sgd,4,0.01,0.01,0.001,"[1, 4, 8, 8]",50,0.3,True,128,sigmoid,,,,,,,,,,,
False,True,630,sigmoid,rmsprop,4,0.01,0.01,0.3,"[1, 2, 4, 4]",50,0.1,True,128,tanh,,,,,,,,,,,
False,True,190,sigmoid,rmsprop,2,0.001,0.1,0.0001,"[1, 2]",50,0.2,True,256,relu,,,,,,,,,,,
False,True,240,sigmoid,sgd,4,0.0001,0.0001,0.3,"[1, 1, 1, 1]",50,0.001,False,256,relu,,,,,,,,,,,
False,False,550,sigmoid,adam,4,0.001,0.0001,0.0001,"[1, 2, 2, 2]",50,0.2,True,256,sigmoid,,,,,,,,,,,
False,True,80,sigmoid,adam,1,0.01,0.01,0.0,[1],50,0.3,False,64,sigmoid,,,,,,,,,,,
False,True,230,sigmoid,adam,4,0.1,0.0001,0.0,"[1, 2, 4, 4]",50,0.01,False,128,relu,,,,,,,,,,,
False,True,60,sigmoid,rmsprop,5,0.01,0.0,0.0,"[1, 4, 4, 4, 4]",50,0.0,True,128,relu,,,,,,,,,,,
False,False,660,sigmoid,rmsprop,1,0.01,0.1,0.1,[1],50,0.1,False,64,relu,,,,,,,,,,,
False,True,420,sigmoid,sgd,1,0.0001,0.2,0.0001,[1],50,0.3,True,128,relu,,,,,,,,,,,
False,True,160,sigmoid,rmsprop,4,0.01,0.0,0.1,"[1, 2, 4, 4]",50,0.1,True,256,relu,,,,,,,,,,,
False,True,230,sigmoid,rmsprop,3,0.1,0.0,0.01,"[1, 4, 8]",50,0.01,True,64,softmax,,,,,,,,,,,
False,True,360,sigmoid,sgd,4,0.01,0.1,0.1,"[1, 1, 1, 1]",50,0.1,False,64,softmax,,,,,,,,,,,
False,True,410,sigmoid,rmsprop,4,0.01,0.001,0.0001,"[1, 2, 2, 2]",50,0.01,False,256,relu,,,,,,,,,,,
False,True,360,sigmoid,adam,2,0.0001,0.01,0.01,"[1, 4]",50,0.1,False,256,sigmoid,,,,,,,,,,,
False,False,230,sigmoid,rmsprop,1,0.01,0.01,0.0001,[1],50,0.001,True,128,relu,,,,,,,,,,,
False,True,340,sigmoid,sgd,4,0.1,0.1,0.1,"[1, 4, 4, 4]",50,0.001,True,128,relu,,,,,,,,,,,
False,False,530,sigmoid,rmsprop,1,0.01,0.01,0.01,[1],50,0.2,False,256,relu,,,,,,,,,,,
False,False,530,sigmoid,rmsprop,3,0.01,0.1,0.3,"[1, 2, 2]",50,0.01,False,128,relu,,,,,,,,,,,
False,False,580,sigmoid,adam,1,0.001,0.3,0.001,[1],50,0.1,True,256,relu,,,,,,,,,,,
False,True,230,sigmoid,rmsprop,3,0.01,0.3,0.1,"[1, 4, 8]",50,0.2,True,64,relu,,,,,,,,,,,
False,True,410,sigmoid,adam,2,0.1,0.001,0.0001,"[1, 1]",50,0.2,True,64,relu,,,,,,,,,,,
False,True,150,sigmoid,adam,1,0.0001,0.001,0.3,[1],50,0.1,True,128,relu,,,,,,,,,,,
False,True,140,sigmoid,sgd,3,0.01,0.1,0.1,"[1, 4, 4]",50,0.1,True,128,softmax,,,,,,,,,,,
False,True,580,sigmoid,rmsprop,5,0.01,0.2,0.0,"[1, 2, 2, 2, 2]",50,0.01,True,128,softmax,,,,,,,,,,,
False,True,690,sigmoid,sgd,5,0.1,0.1,0.0001,"[1, 4, 8, 8, 4]",50,0.0,False,128,relu,,,,,,,,,,,
False,False,460,sigmoid,rmsprop,1,0.01,0.1,0.3,[1],50,0.3,True,64,softmax,,,,,,,,,,,
False,True,420,sigmoid,adam,3,0.1,0.2,0.1,"[1, 4, 4]",50,0.0,True,128,sigmoid,,,,,,,,,,,
False,True,70,sigmoid,rmsprop,3,0.001,0.3,0.01,"[1, 1, 1]",50,0.0,False,256,relu,,,,,,,,,,,
False,True,370,sigmoid,sgd,5,0.01,0.2,0.3,"[1, 2, 4, 4, 2]",50,0.1,False,256,softmax,,,,,,,,,,,
False,True,640,sigmoid,rmsprop,4,0.001,0.1,0.1,"[1, 4, 4, 4]",50,0.2,True,128,relu,,,,,,,,,,,
False,True,260,sigmoid,rmsprop,1,0.01,0.0001,0.001,[1],50,0.001,False,256,tanh,,,,,,,,,,,
False,False,500,sigmoid,rmsprop,1,0.01,0.1,0.01,[1],50,0.3,False,256,relu,,,,,,,,,,,
False,False,170,sigmoid,adam,4,0.01,0.1,0.0,"[1, 4, 8, 8]",50,0.2,False,128,relu,,,,,,,,,,,
False,True,630,sigmoid,rmsprop,2,0.1,0.2,0.1,"[1, 2]",50,0.2,True,256,relu,,,,,,,,,,,
False,True,530,sigmoid,rmsprop,2,0.01,0.3,0.3,"[1, 2]",50,0.3,True,64,sigmoid,,,,,,,,,,,
False,False,580,sigmoid,adam,1,0.01,0.2,0.3,[1],50,0.001,False,256,relu,,,,,,,,,,,
False,False,470,sigmoid,adam,5,0.01,0.01,0.3,"[1, 2, 4, 6, 8]",50,0.001,False,256,tanh,,,,,,,,,,,
False,True,70,sigmoid,sgd,2,0.01,0.01,0.3,"[1, 2]",50,0.3,True,64,sigmoid,,,,,,,,,,,
False,True,630,sigmoid,sgd,2,0.1,0.0,0.2,"[1, 4]",50,0.001,False,256,sigmoid,,,,,,,,,,,
False,True,550,sigmoid,sgd,4,0.001,0.0,0.1,"[1, 4, 8, 8]",50,0.01,True,64,softmax,,,,,,,,,,,
False,True,540,sigmoid,rmsprop,5,0.01,0.01,0.0001,"[1, 2, 4, 4, 2]",50,0.0,False,128,relu,,,,,,,,,,,
False,True,200,sigmoid,rmsprop,1,0.01,0.01,0.3,[1],50,0.0,False,128,sigmoid,,,,,,,,,,,
False,False,140,sigmoid,adam,3,0.1,0.001,0.001,"[1, 1, 1]",50,0.2,False,256,relu,,,,,,,,,,,
False,False,460,sigmoid,sgd,4,0.001,0.2,0.3,"[1, 4, 4, 4]",50,0.2,False,64,sigmoid,,,,,,,,,,,
False,False,500,sigmoid,rmsprop,1,0.01,0.1,0.001,[1],50,0.01,False,128,relu,,,,,,,,,,,
False,False,670,sigmoid,rmsprop,5,0.001,0.2,0.3,"[1, 2, 4, 6, 8]",50,0.2,True,64,softmax,,,,,,,,,,,
False,True,420,sigmoid,adam,5,0.01,0.01,0.2,"[1, 2, 4, 6, 8]",50,0.1,True,256,relu,,,,,,,,,,,
False,True,60,sigmoid,rmsprop,2,0.01,0.0001,0.2,"[1, 4]",50,0.0,True,64,softmax,,,,,,,,,,,
False,False,350,sigmoid,rmsprop,2,0.01,0.1,0.01,"[1, 4]",50,0.0,True,128,relu,,,,,,,,,,,
False,True,180,sigmoid,rmsprop,5,0.001,0.1,0.1,"[1, 2, 4, 4, 2]",50,0.1,False,256,tanh,,,,,,,,,,,
False,False,190,sigmoid,rmsprop,2,0.0001,0.01,0.3,"[1, 4]",50,0.2,False,256,relu,,,,,,,,,,,
False,True,240,sigmoid,rmsprop,3,0.1,0.1,0.2,"[1, 2, 4]",50,0.1,False,64,tanh,,,,,,,,,,,
False,False,540,sigmoid,adam,2,0.01,0.001,0.3,"[1, 2]",50,0.3,True,128,tanh,,,,,,,,,,,
False,True,110,sigmoid,adam,1,0.1,0.001,0.2,[1],50,0.0,False,128,relu,,,,,,,,,,,
False,False,530,sigmoid,rmsprop,2,0.001,0.0,0.3,"[1, 2]",50,0.3,True,128,tanh,,,,,,,,,,,
False,True,260,sigmoid,rmsprop,2,0.001,0.01,0.01,"[1, 1]",50,0.3,True,64,relu,,,,,,,,,,,
False,True,70,sigmoid,sgd,1,0.01,0.3,0.1,[1],50,0.1,False,128,relu,,,,,,,,,,,
False,False,210,sigmoid,sgd,2,0.0001,0.0001,0.3,"[1, 4]",50,0.0,True,256,sigmoid,,,,,,,,,,,
False,True,460,sigmoid,sgd,2,0.01,0.001,0.01,"[1, 4]",50,0.2,True,256,tanh,,,,,,,,,,,
False,True,510,sigmoid,rmsprop,1,0.0001,0.3,0.3,[1],50,0.2,False,64,sigmoid,,,,,,,,,,,
False,True,290,sigmoid,rmsprop,1,0.01,0.3,0.01,[1],50,0.2,True,128,relu,,,,,,,,,,,
False,False,310,sigmoid,sgd,1,0.1,0.2,0.0,[1],50,0.3,False,64,tanh,,,,,,,,,,,
False,True,500,sigmoid,rmsprop,1,0.01,0.1,0.0001,[1],50,0.2,False,256,softmax,,,,,,,,,,,
False,True,530,sigmoid,adam,5,0.01,0.2,0.001,"[1, 4, 8, 8, 4]",50,0.01,False,64,relu,,,,,,,,,,,
False,False,410,sigmoid,rmsprop,2,0.01,0.1,0.0001,"[1, 2]",50,0.1,False,128,softmax,,,,,,,,,,,
False,True,480,sigmoid,rmsprop,3,0.0001,0.01,0.001,"[1, 1, 1]",50,0.1,True,256,softmax,,,,,,,,,,,
False,True,200,sigmoid,sgd,2,0.001,0.1,0.0,"[1, 2]",50,0.3,False,256,sigmoid,,,,,,,,,,,
False,True,200,sigmoid,rmsprop,2,0.0001,0.01,0.001,"[1, 2]",50,0.001,False,256,relu,,,,,,,,,,,
False,True,130,sigmoid,rmsprop,3,0.01,0.01,0.01,"[1, 1, 1]",50,0.0,True,128,softmax,,,,,,,,,,,
False,True,300,sigmoid,adam,1,0.001,0.001,0.0001,[1],50,0.3,True,64,tanh,,,,,,,,,,,
False,False,80,sigmoid,rmsprop,5,0.01,0.0001,0.2,"[1, 4, 4, 4, 4]",50,0.1,False,256,relu,,,,,,,,,,,
False,True,220,sigmoid,rmsprop,2,0.01,0.0,0.2,"[1, 4]",50,0.3,True,128,softmax,,,,,,,,,,,
False,True,440,sigmoid,adam,5,0.01,0.0001,0.1,"[1, 2, 2, 2, 2]",50,0.3,False,64,relu,,,,,,,,,,,
False,False,200,sigmoid,adam,3,0.0001,0.001,0.0,"[1, 2, 4]",50,0.2,True,64,relu,,,,,,,,,,,
False,False,110,sigmoid,adam,5,0.001,0.2,0.3,"[1, 2, 4, 4, 2]",50,0.01,True,64,tanh,,,,,,,,,,,
False,True,270,sigmoid,sgd,2,0.01,0.01,0.001,"[1, 4]",50,0.001,False,256,relu,,,,,,,,,,,
