meier_load,use_residuals,use_bottleneck,residual_activation,reg_residual,reg_module,output_layer_activation,optimizer,num_modules,num_filters,module_output_activation,module_activation,learning_rate,l2_r,l1_r,filter_size,epochs,bottleneck_size,batch_size,train_loss,train_accuracy,train_precision,train_recall,train_f2,val_loss,val_accuracy,val_precision,val_recall,val_f2,confusion_matrix
False,True,False,relu,False,False,sigmoid,sgd,1,32,relu,linear,0.0001,0,0,40,50,32,128,0.693106949329,0.501947040498,0.622642,0.003221,0.004021,0.689546108246,0.921574519231,0.0,0.0,0.0,"[[3067    7]
 [ 254    0]]"
False,True,False,relu,False,False,sigmoid,adam,1,32,relu,linear,0.0001,0,0,40,50,32,64,0.657020628452,0.620643496885,0.606945,0.679014,0.663263,0.67066693306,0.567908653846,0.114081,0.688976,0.343137,"[[1715 1359]
 [  79  175]]"
False,False,True,relu,False,False,sigmoid,adam,1,32,relu,linear,0.01,0,0,40,50,32,64,0.496243417263,0.767352998442,0.754909,0.789946,0.782681,0.527499258518,0.736478365385,0.187563,0.73622,0.464481,"[[2264  810]
 [  67  187]]"
False,True,False,relu,False,False,sigmoid,adam,1,32,relu,linear,0.01,0,0,40,50,32,128,0.520840227604,0.749123831776,0.719402,0.81469,0.793665,0.596950173378,0.676081730769,0.159504,0.759843,0.433513,"[[2057 1017]
 [  61  193]]"
False,True,False,relu,False,False,sigmoid,adam,6,32,relu,linear,0.001,0,0,40,50,32,128,0.0561375208199,0.985324182243,0.981642,0.989068,0.987574,0.410916537046,0.860877403846,0.3267,0.775591,0.6084,"[[2668  406]
 [  57  197]]"
False,True,True,relu,False,False,sigmoid,adam,1,32,relu,linear,0.001,0,0,40,50,32,128,0.60690331459,0.68601538162,0.668353,0.735188,0.720772,0.637011408806,0.634314903846,0.132723,0.685039,0.373872,"[[1937 1137]
 [  80  174]]"
False,False,True,relu,False,False,sigmoid,adam,6,32,relu,linear,0.001,0,0,40,50,32,128,0.0925049632788,0.974810163551,0.981631,0.967594,0.970369,0.29560276866,0.890925480769,0.385263,0.720472,0.613682,"[[2782  292]
 [  71  183]]"
False,True,True,relu,False,False,sigmoid,sgd,3,32,relu,linear,0.001,0,0,40,50,32,256,0.657919883728,0.68193359375,0.673846,0.701694,0.695942,0.671750307083,0.662560096154,0.142387,0.681102,0.387719,"[[2032 1042]
 [  81  173]]"
False,True,True,relu,False,False,sigmoid,adam,3,32,relu,linear,0.01,0,0,40,50,32,128,0.31297186017,0.861906152648,0.926876,0.785017,0.809805,0.270057678223,0.891225961538,0.386555,0.724409,0.616622,"[[2782  292]
 [  70  184]]"
False,True,True,relu,False,False,sigmoid,sgd,1,32,relu,linear,0.0001,0,0,40,50,32,128,0.69318562746,0.49871008567,0.498698,1.0,0.832609,0.69587123394,0.0763221153846,0.076322,1.0,0.292357,"[[   0 3074]
 [   0  254]]"
