meier_load,units,output_layer_activation,optimizer,learning_rate,epochs,batch_size,train_loss,train_accuracy,train_precision,train_recall,train_f2,val_loss,val_accuracy,val_precision,val_recall,val_f2,confusion_matrix
False,8,sigmoid,adam,0.0001,50,68,,,,,,,,,,,
False,128,sigmoid,sgd,0.0001,50,128,0.697657644749,0.498685747664,0.498686,1.0,0.832602,0.778601288795,0.0763221153846,0.076322,1.0,0.292357,"[[   0 3074]
 [   0  254]]"
False,64,sigmoid,rmsprop,0.0001,50,256,0.459362268448,0.7875,0.798807,0.766967,0.77313,0.475143373013,0.76953125,0.212121,0.744094,0.495543,"[[2372  702]
 [  65  189]]"
False,64,sigmoid,rmsprop,0.01,50,128,0.00122825684957,0.999586253894,1.0,0.99917,0.999336,3.01332592964,0.765024038462,0.194444,0.661417,0.446809,"[[2378  696]
 [  86  168]]"
False,64,sigmoid,sgd,0.001,50,128,0.674954473972,0.654132593458,0.642181,0.692045,0.681462,0.688476443291,0.6171875,0.124448,0.665354,0.355939,"[[1885 1189]
 [  85  169]]"
False,128,sigmoid,sgd,0.01,50,128,0.540265858173,0.736370716511,0.718883,0.774036,0.762339,0.568077266216,0.6953125,0.164311,0.732283,0.432961,"[[2128  946]
 [  68  186]]"
False,8,sigmoid,sgd,0.0001,50,128,0.697760105133,0.498685747664,0.498686,1.0,0.832602,0.779876708984,0.0763221153846,0.076322,1.0,0.292357,"[[   0 3074]
 [   0  254]]"
False,8,sigmoid,sgd,0.01,50,128,0.524513959885,0.753334306854,0.749771,0.758516,0.756751,0.515065789223,0.737079326923,0.186047,0.724409,0.458853,"[[2269  805]
 [  70  184]]"
False,8,sigmoid,sgd,0.0001,50,256,0.693540990353,0.498583984375,0.498584,1.0,0.832545,0.715980350971,0.0763221153846,0.076322,1.0,0.292357,"[[   0 3074]
 [   0  254]]"
False,64,sigmoid,adam,0.01,50,68,0.0229041911662,0.99167315933,0.999901,0.983399,0.986656,1.50307798386,0.785714285714,0.198953,0.598425,0.426966,"[[2466  612]
 [ 102  152]]"
False,64,sigmoid,rmsprop,0.01,50,256,0.670528829098,0.568701171875,0.537857,0.958672,0.828958,0.93757301569,0.16015625,0.078607,0.933071,0.293972,"[[ 296 2778]
 [  17  237]]"
False,64,sigmoid,sgd,0.01,50,256,0.601577281952,0.696215820312,0.686573,0.718882,0.712179,0.63208758831,0.667668269231,0.147351,0.700787,0.40018,"[[2044 1030]
 [  76  178]]"
False,8,sigmoid,sgd,0.001,50,128,0.665961444378,0.675209306854,0.672111,0.680869,0.679099,0.674934327602,0.672475961538,0.143952,0.665354,0.385845,"[[2069 1005]
 [  85  169]]"
False,8,sigmoid,adam,0.01,50,256,0.695060431957,0.49873046875,0.498656,0.999461,0.832287,0.758395671844,0.0766225961538,0.076345,1.0,0.292425,"[[   1 3073]
 [   0  254]]"
False,64,sigmoid,sgd,0.01,50,128,0.517440855503,0.755330023364,0.736292,0.793607,0.781441,0.547063648701,0.70703125,0.176101,0.771654,0.46031,"[[2157  917]
 [  58  196]]"
False,64,sigmoid,sgd,0.01,50,68,,,,,,,,,,,
False,64,sigmoid,rmsprop,0.0001,50,256,0.43231549859,0.8060546875,0.806164,0.804427,0.804773,0.458076089621,0.764423076923,0.20815,0.744094,0.491164,"[[2355  719]
 [  65  189]]"
